"year","month","cma_code","cma","cases","fts","ftsp","ftc","fs1","fs2","fs3","age24","age2554","age55","male","female","moa035","moa3659","moa60"
2003,3,"505","505 - Ottawa--Gatineau",15003,11630,1234,2139,11630,1989,1384,844,9815,4344,7817,7186,3087,2299,9617
2003,3,"521","521 - Kingston",3807,2835,318,654,2835,573,399,241,2746,820,1992,1815,697,474,2636
2003,3,"529","529 - Peterborough",2378,1819,165,394,1819,356,203,180,1659,539,1228,1150,500,404,1474
2003,3,"532","532 - Oshawa",4055,3301,312,442,3301,476,278,310,2797,948,1985,2068,1009,722,2324
2003,3,"535","535 - Toronto",62137,49249,3919,8969,49249,8576,4312,3356,35582,23199,32281,29854,14926,11079,36132
2003,3,"537","537 - Hamilton",13244,10278,1034,1932,10278,1779,1187,794,9050,3400,6960,6284,2605,1696,8943
2003,3,"539","539 - St. Catharines--Niagara",8202,6203,679,1320,6203,1183,816,484,5611,2107,4245,3957,1704,1027,5471
2003,3,"541","541 - Kitchener--Cambridge--Waterloo",5432,4281,371,780,4281,729,422,461,3615,1356,2781,2651,1328,789,3315
2003,3,"543","543 - Brantford",3186,2337,309,540,2337,489,360,235,2166,785,1640,1546,682,459,2045
2003,3,"550","550 - Guelph",1639,1291,132,216,1291,232,116,140,1130,369,810,829,341,219,1079
2003,3,"555","555 - London",8646,6662,657,1327,6662,1228,756,558,5950,2138,4466,4179,1953,1179,5514
2003,3,"559","559 - Windsor",5541,4358,382,801,4358,738,445,329,3616,1596,2771,2770,1120,795,3626
2003,3,"568","568 - Barrie",2044,1598,197,249,1598,269,177,180,1400,464,1033,1011,503,340,1201
2003,3,"580","580 - Greater Sudbury",4240,3280,343,617,3280,611,349,271,3073,896,2205,2034,878,634,2728
2003,3,"595","595 - Thunder Bay",3214,2571,299,344,2571,391,252,208,2365,641,1679,1535,657,416,2141
2003,6,"505","505 - Ottawa--Gatineau",15123,11740,1257,2126,11740,1991,1392,877,9905,4341,7880,7243,3185,2106,9832
2003,6,"521","521 - Kingston",3832,2857,321,654,2857,573,402,252,2770,810,2011,1821,687,484,2661
2003,6,"529","529 - Peterborough",2403,1849,164,390,1849,350,204,187,1676,540,1233,1170,506,375,1522
2003,6,"532","532 - Oshawa",4122,3356,325,441,3356,495,271,327,2838,957,2025,2095,1024,701,2397
2003,6,"535","535 - Toronto",62414,49528,3972,8914,49528,8534,4352,3507,35898,23009,32427,29985,15164,10946,36304
2003,6,"537","537 - Hamilton",13338,10334,1050,1954,10334,1802,1202,806,9130,3402,6997,6341,2652,1604,9082
