"year","month","cases","fts","ftsp","ftc","fs1","fs2","fs3","age24","age2554","age55","male","female","moa035","moa3659","moa60"
2003,3,197528,150933,14431,32164,150933,29200,17395,12192,127805,57531,103256,94272,42822,30384,124322
2003,6,198828,152097,14706,32025,152097,29299,17432,12694,128839,57295,103891,94930,43520,29651,125657
2003,9,199739,153014,14824,31901,153014,29335,17390,12880,129343,57516,104276,95458,43855,29550,126334
2003,12,201160,154314,14983,31863,154314,29409,17437,13173,130491,57496,105088,96068,44740,29129,127291
2004,3,202241,155361,15214,31666,155361,29377,17503,13545,131278,57418,105502,96735,45609,28970,127662
2004,6,204457,157114,15621,31722,157114,29676,17667,13869,132802,57786,106666,97787,46810,28804,128843
2004,9,206028,158640,15771,31617,158640,29658,17730,14250,133733,58045,107551,98473,47883,27922,130223
2004,12,206884,159329,15921,31634,159329,29744,17811,14337,134524,58023,107978,98902,48707,27271,130906
2005,3,208070,160428,16128,31514,160428,29843,17799,14560,135402,58108,108646,99420,49617,26776,131677
2005,6,210075,162159,16342,31574,162159,29985,17931,14978,136633,58464,109680,100394,50670,27017,132388
2005,9,211886,163814,16487,31585,163814,30067,18005,15349,137629,58908,110669,101216,51412,27549,132925
2005,12,213494,165140,16728,31626,165140,30232,18122,15580,138869,59045,111521,101972,51588,28558,133348
2006,3,215268,166642,17010,31616,166642,30342,18284,16008,139972,59288,112431,102836,52544,28954,133770
2006,6,217622,168628,17339,31655,168628,30555,18439,16465,141395,59762,113626,103995,53201,29763,134658
2006,9,220599,171222,17661,31716,171222,30722,18655,16976,143132,60491,115186,105413,54644,30871,135084
2006,12,224652,174272,18132,32248,174272,31294,19086,17414,145769,61469,117173,107479,57190,31884,135578
2007,3,228885,177306,18749,32830,177306,31899,19680,17875,148440,62570,119260,109625,59752,32971,136162
2007,6,232451,179955,19244,33252,179955,32320,20176,18216,150555,63680,121203,111248,61191,33881,137379
2007,9,235222,182125,19518,33579,182125,32692,20405,18475,152182,64565,122657,112565,62224,34279,138719
2007,12,238034,184366,19818,33850,184366,32952,20716,18765,153687,65582,124102,113932,62855,34572,140607
2008,3,240657,186394,20198,34065,186394,33216,21047,19159,155139,66359,125477,115180,63724,35016,141917
2008,6,243845,188870,20634,34341,188870,33551,21424,19447,157032,67366,127193,116652,64771,35280,143794
2008,9,246769,191192,20961,34616,191192,34041,21536,19781,158519,68469,128690,118079,64987,36144,145638
2008,12,250140,193730,21228,35182,193730,34505,21905,20165,160256,69719,130425,119715,65210,37710,147220
2009,3,253359,196088,21569,35702,196088,34965,22306,20660,161823,70876,132207,121152,66147,38207,149005
2009,6,257175,198921,22073,36181,198921,35429,22825,21145,163864,72166,134265,122910,67274,38758,151143
2009,9,260745,201656,22438,36651,201656,35846,23243,21610,165806,73329,136229,124516,68377,39475,152893
2009,12,264862,204636,22821,37405,204636,36488,23738,22100,168049,74713,138411,126451,69712,40247,154903
2010,3,268860,207747,23296,37817,207747,37013,24100,22653,170362,75845,140789,128071,71225,41001,156634
2010,6,272677,210670,23787,38220,210670,37485,24522,23042,172358,77277,142901,129776,71962,41990,158725
2010,9,275980,213394,24034,38552,213394,37784,24802,23534,174003,78443,144748,131232,72744,41921,161315
2010,12,279111,215742,24350,39019,215742,38284,25085,23835,175547,79729,146438,132673,73096,41868,164147
