"year","month","cma_code","cma","cases","fts","ftsp","ftc","fs1","fs2","fs3","age24","age2554","age55","male","female","moa04","moa512","moa1318","moa19"
2003,3,"505","505 - Ottawa--Gatineau",18345,9711,6257,2377,9711,3163,5471,3265,13793,1287,8533,9812,4605,4887,1845,7008
2003,3,"521","521 - Kingston",2983,1510,1151,322,1510,719,754,770,2090,123,1204,1779,915,762,265,1041
2003,3,"529","529 - Peterborough",2253,1142,848,263,1142,539,572,606,1522,125,959,1294,656,600,234,763
2003,3,"532","532 - Oshawa",3944,1790,1816,338,1790,1047,1107,939,2786,219,1389,2555,1171,1026,406,1341
2003,3,"535","535 - Toronto",77229,40246,26892,10091,40246,15352,21631,12678,57408,7143,33945,43284,20615,21119,9045,26450
2003,3,"537","537 - Hamilton",11187,4818,4670,1699,4818,2588,3781,2151,8315,721,4757,6430,2980,3052,1313,3842
2003,3,"539","539 - St. Catharines--Niagara",6509,3075,2667,767,3075,1558,1876,1429,4712,368,2644,3865,2132,1905,644,1828
2003,3,"541","541 - Kitchener--Cambridge--Waterloo",6818,3369,2573,876,3369,1558,1891,1571,4722,525,2988,3830,2293,1699,663,2163
2003,3,"543","543 - Brantford",1526,640,757,129,640,375,511,424,1037,65,515,1011,553,424,150,399
2003,3,"550","550 - Guelph",906,475,353,78,475,212,219,200,632,74,375,531,404,239,76,187
2003,3,"555","555 - London",8835,4141,3373,1321,4141,2001,2693,1928,6354,553,3795,5040,2503,2399,976,2957
2003,3,"559","559 - Windsor",6115,2838,2536,741,2838,1415,1862,1295,4380,440,2529,3586,1697,1583,656,2179
2003,3,"568","568 - Barrie",1401,671,609,121,671,362,368,366,955,80,537,864,654,400,115,232
2003,3,"580","580 - Greater Sudbury",4067,2167,1464,436,2167,962,938,1166,2727,174,1775,2292,1266,1097,396,1308
2003,3,"595","595 - Thunder Bay",2123,1010,959,154,1010,537,576,519,1512,92,810,1313,693,617,174,639
2003,6,"505","505 - Ottawa--Gatineau",18431,9695,6385,2351,9695,3214,5522,3473,13708,1250,8352,10079,4474,5023,1906,7028
2003,6,"521","521 - Kingston",2952,1472,1177,303,1472,716,764,760,2066,126,1153,1799,866,805,258,1023
2003,6,"529","529 - Peterborough",2178,1100,836,242,1100,517,561,650,1412,116,881,1297,587,624,207,760
2003,6,"532","532 - Oshawa",3860,1736,1810,314,1736,1061,1063,933,2723,204,1323,2537,1109,1073,376,1302
2003,6,"535","535 - Toronto",77703,40297,27312,10094,40297,15579,21827,13186,57318,7199,33530,44173,20015,22542,8288,26858
2003,6,"537","537 - Hamilton",10799,4562,4595,1642,4562,2561,3676,2112,7992,695,4465,6334,2667,3090,1165,3877
2003,6,"539","539 - St. Catharines--Niagara",6178,2773,2640,765,2773,1543,1862,1372,4474,332,2383,3795,1850,1918,548,1862
2003,6,"541","541 - Kitchener--Cambridge--Waterloo",6629,3192,2569,868,3192,1598,1839,1526,4613,490,2820,3809,2091,1760,613,2165
2003,6,"543","543 - Brantford",1490,603,749,138,603,397,490,405,1024,61,468,1022,508,446,153,383
2003,6,"550","550 - Guelph",908,464,363,81,464,220,224,196,643,69,350,558,380,255,69,204
2003,6,"555","555 - London",8960,4198,3442,1320,4198,2061,2701,2026,6361,573,3783,5177,2644,2416,972,2928
2003,6,"559","559 - Windsor",6196,2833,2603,760,2833,1449,1914,1362,4394,440,2465,3731,1819,1596,578,2203
2003,6,"568","568 - Barrie",1374,641,626,107,641,358,375,345,960,69,483,891,588,439,113,234
2003,6,"580","580 - Greater Sudbury",4121,2125,1560,436,2125,1026,970,1229,2728,164,1703,2418,1283,1174,345,1319
2003,6,"595","595 - Thunder Bay",2132,953,1027,152,953,554,625,541,1508,83,761,1371,689,611,211,621
2003,9,"505","505 - Ottawa--Gatineau",17837,9303,6238,2296,9303,3148,5386,3206,13335,1296,7968,9869,4210,4722,2016,6889
2003,9,"521","521 - Kingston",2744,1362,1117,265,1362,664,718,679,1951,114,1048,1696,779,760,258,947
2003,9,"529","529 - Peterborough",2055,1020,802,233,1020,491,544,607,1332,116,788,1267,547,568,199,741
2003,9,"532","532 - Oshawa",3751,1661,1805,285,1661,1026,1064,870,2671,210,1247,2504,1039,1056,371,1285
2003,9,"535","535 - Toronto",77221,39978,27457,9786,39978,15611,21632,12957,56995,7269,32796,44425,19787,22675,8365,26394
2003,9,"537","537 - Hamilton",10591,4453,4580,1558,4453,2531,3607,2050,7846,695,4306,6285,2683,2839,1297,3772
2003,9,"539","539 - St. Catharines--Niagara",6034,2701,2561,772,2701,1477,1856,1329,4365,340,2317,3717,1945,1703,629,1757
2003,9,"541","541 - Kitchener--Cambridge--Waterloo",6575,3174,2550,851,3174,1573,1828,1478,4585,512,2781,3794,2099,1735,627,2114
2003,9,"543","543 - Brantford",1489,626,740,123,626,371,492,407,1018,64,476,1013,537,428,135,389
2003,9,"550","550 - Guelph",861,437,352,72,437,205,219,187,601,73,319,542,363,222,87,189
2003,9,"555","555 - London",8710,4051,3359,1300,4051,2031,2628,1953,6192,565,3640,5070,2505,2462,878,2865
2003,9,"559","559 - Windsor",6062,2777,2559,726,2777,1418,1867,1309,4306,447,2401,3661,1715,1607,591,2149
2003,9,"568","568 - Barrie",1328,592,626,110,592,377,359,354,896,78,455,873,564,399,121,244
2003,9,"580","580 - Greater Sudbury",3961,2045,1522,394,2045,1002,914,1110,2692,159,1643,2318,1191,1106,363,1301
2003,9,"595","595 - Thunder Bay",1935,872,917,146,872,485,578,459,1394,82,663,1272,587,572,201,575
2003,12,"505","505 - Ottawa--Gatineau",17641,9345,6045,2251,9345,3060,5236,3241,13123,1277,7980,9661,4400,4408,2054,6779
2003,12,"521","521 - Kingston",2582,1300,1031,251,1300,606,676,633,1835,114,987,1595,772,687,256,867
2003,12,"529","529 - Peterborough",2059,1059,782,218,1059,464,536,597,1352,110,845,1214,630,503,231,695
2003,12,"532","532 - Oshawa",3740,1731,1733,276,1731,961,1048,885,2639,216,1269,2471,1106,1055,347,1232
2003,12,"535","535 - Toronto",75910,39660,26803,9447,39660,15380,20870,12744,56054,7112,32469,43441,20503,21368,8439,25600
2003,12,"537","537 - Hamilton",10690,4634,4484,1572,4634,2453,3603,2067,7910,713,4461,6229,3008,2828,1237,3617
