"year","month","cases","fts","ftsp","ftc","fs1","fs2","fs3","age24","age2554","age55","male","female","moa04","moa512","moa1318","moa19"
2003,3,195918.3719,97061.3927,73420.6542,25436.325,97061.3927,42626.3803,56230.5989,39847.3509,141525.5602,14544.4216,83753.9538,112164.4181,57289.1012,53277.9746,20972.8485,64378.5231
2003,6,194540.984132026,95078.858590495,74567.49707694,24894.628464591,95078.858590495,43179.024346546,56283.101194985,40623.677400238,139608.818699744,14307.448850692,80517.849494024,114023.134638002,54280.59872573,55826.900578229,19549.079589187,64884.405239755
2003,9,189953.994037372,92568.175203234,73501.280131335,23884.538702803,92568.175203234,42423.529762737,54962.289071401,38738.593538126,136767.665482902,14446.695835231,77547.851389935,112406.142647437,52788.322187091,53836.855929287,20017.745782409,63311.070137748
2003,12,187978.010646305,93407.062238851,71122.798528761,23448.149878693,93407.062238851,41097.652522174,53473.29588528,38490.339636244,135233.182801522,14254.488208539,78383.577795228,109594.432851077,56013.061816975,50953.274464333,20094.702812384,60916.97155126
2004,3,196891.996292045,101072.014547238,71263.039337678,24556.942407129,101072.014547238,41810.50403563,54009.477709177,41552.7865604,140521.49394251,14817.715789135,85221.350476977,111670.645815068,59496.365950227,55437.31567404,20729.630026984,61228.684640089
2004,6,193419.001089574,98015.753747543,72032.018524809,23371.228817222,98015.753747543,42290.597060605,53112.650281426,41350.136316789,137399.755570555,14669.10920223,80758.039346886,112660.961742688,54346.16066471,57399.280730373,20570.630253854,61102.929441298
2004,9,188659.997135042,94642.272137241,71662.886536527,22354.838461274,94642.272137241,41570.314382777,52447.410615024,39617.695313,134427.275411684,14615.026410358,77191.323719951,111468.673415091,53369.163208224,53938.633804266,20824.126438514,60528.073683528
2004,12,188744.993399511,96330.644489111,70107.221207118,22307.127703282,96330.644489111,40926.48868477,51487.86022563,39062.778622434,134767.316694586,14914.898082491,79055.325253829,109688.624635007,56109.569013327,52040.920888604,20992.304254883,59602.19924147
2005,3,198972.994730046,104752.192800622,70774.126654859,23446.675274565,104752.192800622,41595.228294254,52625.57363517,42011.546683302,141389.257336375,15572.190710369,86473.932546077,112499.062183969,57543.988402422,57883.94688957,22032.447970684,61512.611468258
2005,6,198157.986171613,103160.378013138,72324.526227073,22673.081931402,103160.378013138,42538.053862269,52459.554296206,42788.105389937,139789.264466645,15580.616315031,83200.19817649,114957.787995123,53938.938633744,59937.036492876,21783.777349504,62498.233694544
2005,9,197452.000765007,101722.426237189,73406.673184014,22322.901343804,101722.426237189,42882.090296889,52847.484230929,41811.713773677,139838.094279756,15802.192711574,81192.562670173,116259.438094834,54483.421728822,56467.074499664,22844.474246433,63657.030290558
2005,12,196677.989081096,103333.244341568,71247.036108854,22097.708630674,103333.244341568,41832.670323923,51512.074415605,41091.888913586,139764.601810242,15821.498357268,82806.159946462,113870.781353286,56568.667206503,53895.776986169,23304.752745304,62908.792142337
2006,3,204220.990235421,110002.38513778,71346.583450529,22872.021647112,110002.38513778,42373.330318677,51845.274778964,43757.449641437,144165.299869499,16298.240724485,88322.73879143,115898.251443991,58163.397034689,58085.861204242,23349.809998923,64621.921996424
2006,6,201446.005821021,106774.001933387,72467.16722153,22204.836666104,106774.001933387,42933.128830137,51738.875057497,43847.180193103,141562.523859031,16036.301768887,84138.899982709,117307.105838312,54574.428191796,58441.568562466,22296.136861219,66133.872204811
2006,9,197959.998812072,104022.042398953,72433.161945296,21504.794467823,104022.042398953,42509.012764599,51428.94364852,42493.238307547,139566.105588475,15899.603285434,81613.897227587,116346.101584485,55192.729627309,54659.552904107,22261.968512715,65845.747767348
2006,12,195663.995486518,104879.126488557,69810.306717714,20974.562280247,104879.126488557,40970.28358363,49814.585414331,41731.253499129,138229.185725456,15703.556261933,82885.727588052,112778.267898466,57550.586651234,52675.327094491,21494.50576331,63943.575978309
2007,3,201601.993032038,110501.484440852,69549.240402048,21551.268189138,110501.484440852,41118.297894852,49982.210696334,44459.343519256,141438.999396616,15703.650116166,88254.471613976,113347.521418062,58844.021550316,57226.572913629,21347.379277176,64184.019290883
2007,6,197603.551262566,106412.424157373,70595.072310094,20596.054795099,106412.424157373,41491.700032656,49699.427072537,44017.720529596,138280.438104117,15305.392628853,83000.219173614,114602.280894403,55148.819606917,57766.294034227,20765.297115271,63923.140507133
2007,9,192005.49976203,102224.585148967,69992.489603907,19788.425009156,102224.585148967,40780.804608653,49000.11000441,41634.307380737,135263.877539141,15106.262434291,79362.076783639,112643.422978391,54123.231466088,53771.72724153,20994.484416131,63116.056639015
2007,12,190556.482050936,102748.226912016,67917.766406251,19890.488732669,102748.226912016,39585.188361779,48223.066777141,40812.554464368,134663.956080007,15079.971506561,80698.79488945,109857.687161486,57152.523590143,51427.27124983,20972.591951443,61004.095259451
2008,3,196928.534089127,108638.195141151,67564.172159796,20726.16678818,108638.195141151,39808.784175666,48481.55477231,42921.439759293,138605.649292705,15401.445037129,86309.462596053,110619.071493074,58491.022842222,56248.481649347,20748.234907775,61440.794689273
2008,6,197898.668024584,107709.204176109,69494.934859998,20694.528988477,107709.204176109,40973.399534757,49216.064313718,43686.228568374,138695.22576342,15517.21369279,83949.325700694,113949.34232389,57270.367423106,58624.677338513,20256.772248844,61746.851013629
2008,9,196211.680673032,106825.495157351,69071.860075623,20314.325440058,106825.495157351,40586.603114891,48799.58240079,42698.452002387,137889.331181017,15622.846295556,82574.447923304,113637.232749728,57787.291710206,56729.790474976,20692.755304478,61001.843184062
2008,12,202120.947968171,112761.10807474,67877.534509819,21482.305383612,112761.10807474,40405.293896738,48954.545996693,43444.351470872,142389.557400256,16285.989336225,88896.895384884,113224.052583287,64623.27598047,56266.130103244,21308.0450905,59923.496792658
2009,3,221079.389644572,127442.358044657,69467.812643545,24169.21895637,127442.358044657,42376.913344961,51260.118254954,49028.598617635,154787.361973406,17262.383355484,102242.080819941,118837.308824631,71509.015226968,65151.17110394,23086.921476161,61332.281838233
2009,6,229376.638787606,131551.638298266,72596.848912125,25228.151577215,131551.638298266,44355.227468333,53469.773021007,52592.67160723,159153.184539109,17629.738472914,105009.922930699,124366.715856907,67288.297007657,73965.753624989,24748.878303817,63373.709850778
2009,9,237887.532528304,136737.108017523,74989.538324079,26160.886186702,136737.108017523,45688.803902199,55461.620608582,53794.26011846,165351.098329553,18741.131979981,109212.112518309,128675.420009995,66768.408980191,76808.003368775,27706.320948924,66604.79922956
2009,12,240579.15171185,140006.056170268,73840.919114447,26732.176427135,140006.056170268,45167.620370315,55405.475171267,53531.144162803,167697.31399711,19349.649937788,112624.751739627,127954.399972223,68912.973105379,72930.887578773,30144.794695422,68590.496331885
2010,3,251757.000541405,148593.922887006,74955.424782849,28207.65287155,148593.922887006,46387.28406737,56775.793587029,56925.823215516,174798.055162536,20033.122163353,120151.848724657,131605.151816748,68927.151184303,76481.767826229,33224.268393051,73123.813137253
2010,6,251059.431613224,146497.285765769,76731.163880633,27830.981966822,146497.285765769,47249.085454844,57313.060392611,57555.930015386,173272.358188362,20231.143409476,116072.914912021,134986.516701203,65570.627406075,75573.10317249,32434.038761747,77481.662272308
2010,9,250350.34249763,145052.455801975,77919.956481539,27377.930214116,145052.455801975,47541.976553323,57755.910142332,56115.632707221,173226.019633304,21008.690157105,114087.396274433,136262.946223197,64350.388558974,71928.199218448,32185.100595301,81886.654124085
2010,12,249971.118227738,146892.965609544,75954.299541831,27123.853076363,146892.965609544,46413.386830852,56664.765787342,54997.756156922,173257.380015051,21715.982055765,115900.982576596,134070.135651142,65956.414538158,68792.834542464,31464.545841028,83757.323306985
2011,3,258425.374694319,154184.562500415,76338.763342753,27902.048851151,154184.562500415,46946.354045896,57294.458148008,57375.750539012,178488.902076168,22560.722079139,122307.524317468,136117.850376851,65713.431354978,73673.832113975,31210.023715879,87828.087509156
2011,6,262143.288152232,155424.882729149,78645.799023145,28072.606399938,155424.882729149,48430.428463187,58287.976959896,59022.371085917,180117.192732777,23003.724333538,121344.828153741,140798.459998491,65735.045977793,74889.451151935,30671.632445123,90847.158578239
2011,9,260498.20225471,152986.971928675,79773.75804697,27737.472279065,152986.971928675,48905.022225363,58606.208100672,57540.223881529,179558.426264641,23399.55210854,118768.148815928,141730.053438782,62670.07759536,73792.575779215,31503.324674606,92532.224205529
2011,12,258409.104756266,153194.642397758,77621.037367757,27593.424990751,153194.642397758,47766.471463604,57447.990894904,55355.731880454,178985.618037905,24067.754837907,119736.220272863,138672.884483403,65605.40336454,69249.916333595,31444.349165268,92109.435892863
2012,3,264275.998900801,158713.885307354,77434.640028075,28127.473565372,158713.885307354,47742.041411082,57820.072182365,57172.362414353,182492.747950333,24610.888536115,124615.402396209,139660.596504592,64568.958050732,73147.467814623,31784.638689483,94774.934345963
2012,6,264833.923097536,157674.918384244,79273.479453715,27885.525259577,157674.918384244,48839.472968625,58319.531744667,57821.074214961,182247.105861972,24765.743020603,122010.749935154,142823.173162382,62110.51464118,74080.779861347,31318.534474012,97324.094120997
2012,9,260702.913736426,154218.448858546,79399.246543352,27085.218334528,154218.448858546,48259.323597634,58225.141280246,55667.237653089,179986.148777948,25049.527305389,118406.755713836,142296.15802259,58308.528522929,71710.942891011,31600.6374548,99082.804867686
2012,12,254182.870167543,151761.591292221,76103.105720116,26318.173155206,151761.591292221,46056.803023296,56364.475852026,52718.799346265,176118.634712102,25345.436109176,117326.491078326,136856.379089217,59940.223840957,65393.604819003,31172.465008666,97676.576498917
2013,3,257030.807182322,155343.027343791,75193.512453856,26494.267384675,155343.027343791,45690.169059929,55997.610778602,53337.019987443,177744.158397045,25949.628797834,120561.280509966,136469.526672356,57743.167003436,68808.094565459,30453.852492959,100025.693120468
2013,6,257390.413786683,154015.401506628,77054.656671096,26320.355608959,154015.401506628,46745.135209141,56629.877070914,53876.173513647,177622.748690057,25891.491582979,117635.00195866,139755.411828023,57686.9068903,68496.1585449,29322.403779325,101884.944572158
2013,9,251585.825547498,149460.887172969,76634.181050311,25490.757324218,149460.887172969,46098.127744776,56026.810629753,50818.56098211,174664.386447762,26102.878117626,113213.099208536,138372.726338962,54674.086339623,65730.909936673,29068.425797721,102112.403473481
2013,12,246658.389646623,148262.76559572,73493.428094351,24902.195956552,148262.76559572,44309.614808809,54086.009242094,47995.110525427,172011.413945263,26651.865175933,112889.745827871,133768.643818752,57226.628886971,59871.526353175,28969.418669659,100590.815736818
2014,3,252885.883823445,153896.377227638,73430.312348095,25559.194247712,153896.377227638,44545.486930874,54444.019664933,49624.309776127,175652.461999529,27609.112047789,117819.077736428,135066.806087017,57253.514550505,65153.325191723,28085.545542238,102393.498538979
2014,6,254236.440645927,153503.336884294,75113.341039238,25619.762722395,153503.336884294,45445.822983779,55287.280777854,50193.628929828,176118.106231049,27924.70548505,115614.92596419,138621.514681737,56128.386363159,66743.034384442,27168.232882621,104196.787015705
2014,9,246879.59141425,147323.551330783,74771.455081453,24784.585002014,147323.551330783,44853.032494945,54703.007588522,46954.095306657,172025.433812734,27900.062294859,110350.289538268,136529.301875982,52868.89595149,63250.679665797,27766.063271486,102993.952525477
2014,12,236707.166666667,143086.784044472,70833.6694786954,22786.7131434992,143086.784044472,41919.8250273515,51700.5575948431,45416.993359502,165509.186947426,25780.9863597386,107873.627076495,128833.539590171,43523.0000628345,52581.4114617523,25361.0321919631,115241.722950117
2015,3,247592.2,152352.900080018,71905.3779311338,23333.9219888483,152352.900080018,42592.2694632023,52647.0304567797,47904.7724568898,172424.685266113,27262.7422769976,115438.970931892,132153.229068108,47110.2031456792,53694.2266861984,27075.1065161708,119712.663651952
2015,6,252214.888888889,154494.409671418,74159.203724949,23561.2754925216,154494.409671418,43676.5283569433,54043.9508605273,48521.0889180781,175669.573967847,28024.2260029632,115923.488311386,136291.400577503,43655.5607717404,56804.3334524918,28116.4833778561,123638.511286801
2015,9,248693.222222222,152004.36910768,73575.6789307911,23113.174183751,152004.36910768,43129.4851598751,53559.3679546669,46051.1531928157,174083.157409751,28558.9116196556,113667.048965569,135026.173256653,40610.6611214226,53405.154238027,28983.7861450922,125693.620717681
2015,12,246215.222222222,151470.95304706,71689.3439738587,23054.925201304,151470.95304706,42109.3805240774,52634.8886510853,43943.2353857392,172957.601680921,29314.3851555624,113935.187653068,132280.034569154,41511.0420746514,50371.6997090459,27335.6694061448,126996.81103238
2016,3,255612,159645.44826456,71953.9695519648,24012.5821834748,159645.44826456,42628.8784536724,53337.6732817672,45338.0171413588,179441.953000557,30832.029858084,120523.684408902,135088.315591098,43625.8247353413,51591.9700763659,27890.4099996722,132503.79518862
2016,6,256305.833333333,159313.764241568,72895.7981504846,24096.2709412807,159313.764241568,42941.0722806788,54050.9968110865,45790.7637366227,179818.356491406,30696.7131053049,119285.175002348,137020.658330985,43199.5643077145,53652.2702430679,27184.5704221806,132269.42836037
2016,9,254399.861246074,157587.014170032,73084.8343957751,23728.0126802665,157587.014170032,42572.6019978599,54240.2450781817,44376.0021759691,179481.255821339,30542.603248766,117837.854030582,136562.007215491,40922.103344724,55419.4719077699,25333.4786924856,132724.807301094
2016,12,247733.237979626,154066.343609195,70483.6697506953,23183.2246197352,154066.343609195,40887.2163272189,52779.6780432117,41784.523266742,175600.66190198,30348.0528109041,115673.976015697,132059.261963929,41214.2721276058,51821.5722690012,24960.0181506835,129737.375432335
2017,3,253831.916666667,158084.963727509,71230.7220643842,24516.2308747736,158084.963727509,40864.5745256949,54882.3784134628,42681.871824154,180120.871834126,31029.1730083864,119954.190901513,133877.725765154,45188.3804323456,53512.335262809,25970.0687135408,129161.132257971
