"year","month","cases","beneficiaries"
1969,1,101795,NA
1969,2,101321,NA
1969,3,102112,NA
1969,4,101197,NA
1969,5,98226,NA
1969,6,97232,NA
1969,7,99032,NA
1969,8,99373,NA
1969,9,100190,NA
1969,10,101508,NA
1969,11,104689,NA
1969,12,109672,NA
1970,1,110370,NA
1970,2,112229,NA
1970,3,115025,NA
1970,4,118272,NA
1970,5,115949,NA
1970,6,120440,NA
1970,7,124142,NA
1970,8,125467,NA
1970,9,124886,NA
1970,10,127585,NA
1970,11,134320,NA
1970,12,149653,NA
1971,1,147911,NA
1971,2,150576,NA
1971,3,153385,NA
1971,4,153097,NA
1971,5,151423,NA
1971,6,155873,NA
1971,7,154242,NA
1971,8,156965,NA
1971,9,156545,NA
1971,10,150087,NA
1971,11,156495,NA
1971,12,158916,NA
1972,1,157647,NA
1972,2,156760,NA
1972,3,161571,NA
1972,4,156220,NA
1972,5,153348,NA
1972,6,151297,NA
1972,7,157997,NA
1972,8,162083,NA
1972,9,157613,NA
1972,10,151651,NA
1972,11,144691,NA
1972,12,146360,NA
1973,1,148263,NA
1973,2,146283,NA
1973,3,147570,NA
1973,4,145193,NA
1973,5,140423,NA
1973,6,137959,NA
1973,7,136335,NA
1973,8,140133,NA
1973,9,140796,NA
1973,10,142065,NA
1973,11,147255,NA
1973,12,143565,NA
1974,1,151163,NA
1974,2,150097,NA
1974,3,154592,NA
1974,4,152884,NA
1974,5,148389,NA
1974,6,146042,NA
1974,7,142176,NA
1974,8,141902,NA
1974,9,144209,NA
1974,10,143066,NA
1974,11,155171,NA
1974,12,162686,NA
1975,1,173197,NA
1975,2,157991,NA
1975,3,174445,NA
1975,4,169672,NA
1975,5,165928,NA
1975,6,165810,NA
1975,7,168064,NA
1975,8,167925,NA
1975,9,169572,NA
1975,10,171695,NA
1975,11,175026,NA
1975,12,180021,NA
1976,1,181686,NA
1976,2,173542,NA
1976,3,170259,NA
1976,4,161132,NA
1976,5,162004,NA
1976,6,159456,NA
1976,7,156462,NA
1976,8,159683,NA
1976,9,159573,NA
1976,10,159524,NA
1976,11,163807,NA
1976,12,167935,NA
1977,1,169833,NA
1977,2,170135,NA
1977,3,172555,NA
1977,4,170226,NA
1977,5,168491,NA
1977,6,168323,NA
1977,7,168188,NA
1977,8,170468,NA
1977,9,169913,NA
1977,10,170009,NA
1977,11,173079,NA
1977,12,177070,NA
1978,1,181203,NA
1978,2,181504,NA
1978,3,182859,NA
1978,4,183753,NA
1978,5,185446,NA
1978,6,180158,NA
1978,7,178915,NA
1978,8,180193,NA
1978,9,180807,NA
1978,10,177371,NA
1978,11,180788,NA
1978,12,183700,NA
1979,1,187786,NA
1979,2,186675,NA
1979,3,186465,NA
1979,4,185885,NA
1979,5,185156,NA
1979,6,180740,NA
1979,7,178830,NA
1979,8,179193,NA
1979,9,177362,NA
1979,10,178329,NA
1979,11,180621,NA
1979,12,184806,NA
1980,1,193136,NA
1980,2,194270,NA
1980,3,194188,NA
1980,4,192227,NA
1980,5,189438,NA
1980,6,186315,NA
1980,7,187263,NA
1980,8,186584,NA
1980,9,186450,NA
1980,10,191795,NA
1980,11,190419,NA
1980,12,195015,NA
1981,1,200477,387220.054634812
1981,2,202063,391344.610895442
1981,3,203650,395302.655120482
1981,4,200363,386962.253380554
1981,5,197134,379502.494484446
1981,6,193392,371612.498547702
1981,7,192539,368271.566526426
1981,8,190962,364742.206461543
1981,9,192838,369341.711280296
1981,10,193151,370136.93650568
1981,11,197734,377874.299805194
1981,12,205591,392539.688553707
1982,1,211289,402682.841954136
1982,2,212905,407781.676786305
1982,3,215830,414684.904284231
1982,4,214220,409314.453245085
1982,5,212628,404282.739983804
1982,6,211389,401920.067778778
1982,7,211662,400748.103751393
1982,8,213155,402968.153450833
1982,9,217965,412746.157855899
1982,10,221515,419831.448146728
1982,11,230223,435408.858285144
1982,12,240508,453455.795440723
1983,1,247194,465336.785723288
1983,2,250347,473191.46039345
1983,3,254088,481283.307544918
1983,4,252762,475499.797460207
1983,5,251803,471395.827400094
1983,6,246505,460824.834085667
1983,7,239906,446846.812675491
1983,8,240433,446304.266185651
1983,9,240532,447006.958009994
1983,10,240223,447557.42841441
1983,11,246345,457841.443167072
1983,12,251473,465750.215552232
1984,1,260669,481942.122654949
1984,2,262900,487997.56861732
1984,3,262758,488192.768070022
1984,4,260216,481333.5285485
1984,5,259439,478143.338994198
1984,6,253831,467219.863220506
1984,7,251300,462124.654943007
1984,8,251523,460968.307715051
1984,9,250072,459650.461284411
1984,10,251915,462952.253091493
1984,11,256058,469335.494094777
1984,12,259164,474077.067092066
1985,1,268177,489405.545983984
1985,2,267985,491014.758712917
1985,3,266475,488774.831875853
1985,4,266396,486746.796160496
1985,5,263664,480335.435087052
1985,6,257396,469221.561757565
1985,7,256210,466243.696217558
1985,8,254394,462306.72160856
1985,9,254125,462338.997868971
1985,10,255520,464281.409050259
1985,11,257601,468076.470249347
1985,12,263018,477014.867380397
1986,1,271546,492047.038128805
1986,2,269921,490794.560518572
1986,3,268069,488200.214176554
1986,4,270038,489545.471805203
1986,5,267411,484288.060979101
1986,6,263799,479613.114154155
1986,7,264209,479471.623112543
1986,8,262362,476062.209642352
1986,9,264189,480185.24732772
1986,10,265591,483539.33293191
1986,11,268818,489171.892176756
1986,12,274900,499937.799243107
1987,1,279244,509658.565265394
1987,2,283560,516788.107449565
1987,3,284621,519802.522209334
1987,4,283341,515958.841553566
1987,5,279266,507461.681171215
1987,6,277606,505808.330954799
1987,7,275364,501374.033712418
1987,8,273616,498493.08571171
1987,9,275105,503739.161108849
1987,10,274249,503563.535601146
1987,11,275600,506805.213143672
1987,12,282065,517329.310740038
1988,1,287170,527679.430373384
1988,2,290486,534309.941454075
1988,3,289111,532925.612670028
1988,4,289163,532487.150066277
1988,5,287072,528112.610232509
1988,6,285594,526030.839746853
1988,7,281459,519101.555254237
1988,8,284824,525645.755654933
1988,9,286146,530580.981447142
1988,10,287941,535050.551444506
1988,11,293582,545426.834985423
1988,12,299968,556177.27685044
1989,1,308467,571437.93873012
1989,2,309388,573897.670287507
1989,3,308762,575174.92479133
1989,4,308972,573566.673849215
1989,5,306959,570920.797165897
1989,6,303184,565284.053799892
1989,7,298699,559636.808129214
1989,8,301050,564935.758948085
1989,9,301306,567960.159755684
1989,10,305839,578032.14506299
1989,11,311792,590157.67809577
1989,12,319537,606710.327519503
1990,1,334373,636744.858997984
1990,2,338544,647067.59563292
1990,3,345557,663137.608842039
1990,4,347006,666698.310731707
1990,5,353695,679728.535936678
1990,6,356314,687480.309809691
1990,7,360383,696285.88928569
1990,8,369787,715164.878661262
1990,9,376648,730859.158232009
1990,10,390175,752762.832732026
1990,11,403284,778269.916359344
1990,12,417821,806500.519369661
1991,1,443125,853682.342285146
1991,2,457204,881710.257510787
1991,3,468247,904410.521637068
1991,4,481139,930445.219978526
1991,5,490343,950258.352735227
1991,6,491227,954800.874499003
1991,7,498598,970518.471067215
1991,8,505617,985441.806630166
1991,9,511966,998455.049589533
1991,10,532695,1038549.584272
1991,11,543972,1061319.19108
1991,12,563923,1099326.12296
1992,1,583901,1136605
1992,2,591888,1153463
1992,3,598237,1166661
1992,4,599738,1171236
1992,5,603120,1178518
1992,6,606736,1186488
1992,7,608525,1191874
1992,8,609704,1195347
1992,9,615433,1206951
1992,10,618037,1213397
1992,11,625079,1227073
1992,12,634974,1246173
1993,1,645841,1266807
1993,2,651247,1285400
1993,3,657292,1288525
1993,4,659961,1294743
1993,5,663013,1301090
1993,6,662764,1301751
1993,7,660353,1297870
1993,8,659863,1297606
1993,9,661531,1301331
1993,10,658399,1296961
1993,11,666882,1312999
1993,12,675912,1329760
1994,1,682405,1341850
1994,2,687907,1352015
1994,3,692871,1362273
1994,4,685703,1350302
1994,5,684250,1348594
1994,6,678040,1338340
1994,7,668216,1322109
1994,8,665883,1318208
1994,9,661405,1310544
1994,10,653634,1297365
1994,11,655993,1301907
1994,12,659816,1309472
1995,1,669473,1326559
1995,2,672391,1332653
1995,3,677790,1342763
1995,4,675156,1338607
1995,5,679997,1347613
1995,6,678480,1345841
1995,7,669513,1330098
1995,8,665912,1324904
1995,9,652766,1300381
1995,10,633513,1264192
1995,11,623593,1242613
1995,12,619031,1231928
1996,1,616970,1225995
1996,2,615109,1222402
1996,3,611917,1216056
1996,4,612325,1217883
1996,5,615991,1222913
1996,6,608522,1208622
1996,7,601837,1197388
1996,8,595791,1188918
1996,9,584137,1165108
1996,10,576212,1150878
1996,11,573059,1144337
1996,12,573834,1144828
1997,1,578472,1153491
1997,2,579230,1152648
1997,3,578337,1149607
1997,4,580502,1153045
1997,5,581787,1156769
1997,6,577569,1148504
1997,7,570320,1136241
1997,8,564210,1126933
1997,9,556909,1111964
1997,10,551441,1101851
1997,11,547030,1095202
1997,12,548857,1098659
1998,1,550728,1099976
1998,2,549860,1095300
1998,3,549750,1091339
1998,4,546655.0156,1037416.5975
1998,5,541847.8384,1030401.9149
1998,6,535105.4185,1018838.6364
1998,7,528860.1225,1008124.1809
1998,8,524066.4036,998272.4011
1998,9,515168.857,979180.865
1998,10,506316.7226,962842.7435
1998,11,497159.035,943779.7439
1998,12,496781.8985,941427.1905
1999,1,497009.0992,938832.8908
1999,2,494447.7566,930909.4054
1999,3,495099.0897,928622.5982
1999,4,492328.0011,922723.0542
1999,5,489290.6665,915677.8422
1999,6,485489.8289,906721.8891
1999,7,478387.4244,891100.9191
1999,8,474676.4066,878751.0668
1999,9,467772.9334,862661.3993
1999,10,461710.7996,852119.8796
1999,11,457853.9233,842044.3294
1999,12,456015.096,837389.9081
2000,1,456462,834269.6561
2000,2,454080,826145.9409
2000,3,453414,822739.1949
2000,4,446934,810196.0419
2000,5,443292,801323.4544
2000,6,439689,794460.3867
2000,7,432048,779369.7206
2000,8,430829,773016.3848
2000,9,424908,758955.6282
2000,10,415874,742516.0128
2000,11,415562,740188.3218
2000,12,413056,734981.5577
2001,1,415341,740160.2872
2001,2,413783,734817.9343
2001,3,412826,730318.7814
2001,4,410321,724402.7364
2001,5,410131,722823.1654
2001,6,406096,715358.2279
2001,7,403897,710279.4576
2001,8,404100,710846.205
2001,9,402413,707474.3723
2001,10,402154.5669,702849.8573
2001,11,404104.2777,704665.7979
2001,12,406371.7467,706107.8075
2002,1,414673.3827,718488.3781
2002,2,415044.4637,716425.3788
2002,3,413964.6636,711862.9873
2002,4,413254.7855,710298.3842
2002,5,414249.1868,712344.7127
2002,6,412505.5351,710309.5666
2002,7,409957.1633,704904.6945
2002,8,409645.2222,704569.439
2002,9,407525.5348,698893.31
2002,10,404838.2412,691122.6353
2002,11,404492.9077,689107.6201
2002,12,405900.1822,688426.0411
2003,1,412398.3574,698172.17
2003,2,413854.9853,698800.9396
2003,3,414910.3386,699063.0921
2003,4,415089,699502
2003,5,415968,701686
2003,6,415170,699763
2003,7,413922,697417
2003,8,411990,694611
2003,9,411625,691563
2003,10,409853,686815
2003,11,408751,683757
2003,12,411484,686229
2004,1,416718,693999
2004,2,418457,694895
2004,3,421599,698496
2004,4,421048,696936
2004,5,421192,696668
2004,6,420742,695977
2004,7,418624,692572
2004,8,418193,691655
2004,9,417710,690076
2004,10,413718,681343
2004,11,414560,681791
2004,12,418885,688427
2005,1,425310,698065
2005,2,427360,699299
2005,3,430457,704117
2005,4,431425,704984
2005,5,431685,705357
2005,6,432030,706347
2005,7,431024,705113
2005,8,432691,708256
2005,9,433378,709084
2005,10,430375,701253
2005,11,432170,703879
2005,12,434522,706198
2006,1,439906,713684
2006,2,440938,713672
2006,3,443970,717473
2006,4,442660,714837
2006,5,444117,718247
2006,6,443920,717967
2006,7,442135,715018
2006,8,443938,718707
2006,9,443573,716985
2006,10,441054,709851
2006,11,443832,713610
2006,12,445537,714814
2007,1,451923.2675,723514.5566
2007,2,453392.5346,724772.1159
2007,3,455938.0496,727929.5195
2007,4,455002.1766,726002.6158
2007,5,456894.3733,729993.6313
2007,6,455835.7108,729159.464
2007,7,453957.1164,725797.5311
2007,8,454828.4672,727808.9823
2007,9,453085.4778,724885.0178
2007,10,451579.5499,720618.4102
2007,11,453635.5772,724304.4917
2007,12,454694.3522,724712.8435
2008,1,461754.0231,734995.4717
2008,2,463098.6464,736427.5601
2008,3,463939.0727,736216.4077
2008,4,467845,742906
2008,5,468858,745465
2008,6,468444,745405
2008,7,468830,745286
2008,8,468856,744942
2008,9,469877,745840
2008,10,470478.2085,745269.6275
2008,11,472217.4188,747104.3276
2008,12,479398.77,757270.4426
2009,1,488950.031,771705.6774
2009,2,493557.1203,777828.4458
2009,3,501767.6733,789850.138
2009,4,507174.06914916,798533.361810206
2009,5,511080.783999166,806459.775136588
2009,6,514912.286728621,813313.702307612
2009,7,520206.025461755,822584.694458938
2009,8,525706.219374108,831678.785631389
2009,9,526719.532529277,833278.374218251
2009,10,525816.664421704,830311.587041216
2009,11,527776.600310375,833010.645938622
2009,12,533702.151712233,842319.439236229
2010,1,541000,853086
2010,2,543172,855362
2010,3,549157,864293
2010,4,549833,865571
2010,5,551118,868883
2010,6,552494,871430
2010,7,552193,871641
2010,8,553523,874325
2010,9,555164,876602
2010,10,552184.770312881,870066.544939088
2010,11,553870.229029859,871568.203928338
2010,12,558057.874357124,877072.389171801
2011,1,563576.17508248,884747.384380746
2011,2,564338.856303697,884461.520632735
2011,3,569687.936974914,892389.779365708
2011,4,569884.821368083,892811.658109993
2011,5,573736.977564454,899907.363767194
2011,6,577511.359863678,906243.99550951
2011,7,584042.35308663,916463.300239489
2011,8,578733.100228677,909417.972844112
2011,9,579650.799650186,911169.564833532
2011,10,575326.597625395,902037.544777912
2011,11,577431.701471543,904331.02919856
2011,12,581161.423528414,909792.854095179
2012,1,586769.499234857,917425.799929904
2012,2,587644.173435026,917610.613086323
2012,3,590209.18012175,921422.114258484
2012,4,589087.439258732,919388.382659008
2012,5,593689.895207858,927891.537772449
2012,6,594005.311532074,928805.031417324
2012,7,593838.584476455,928470.971493013
2012,8,595909.965960613,932371.810333311
2012,9,593654.770804445,928238.582054184
2012,10,588920.18046487,918170.167078451
2012,11,589598.584145488,918614.959378961
2012,12,589740.511137534,917820.150598711
2013,1,595894.195600896,926640.325282539
2013,2,595065.346227291,924386.296496966
2013,3,595436.506179998,923660.250559954
2013,4,597006.759231787,925987.687517343
2013,5,600742.82477574,933628.9088421
2013,6,598776.604167954,930864.176252854
2013,7,597434.516458491,929515.679448298
2013,8,597454.841244438,930284.751389707
2013,9,595821.055828529,926319.851672324
2013,10,593215.838456287,919653.706657673
2013,11,593125.812961977,918388.295339089
2013,12,593919.710373785,918354.631990295
2014,1,600114.339621592,927827.910726942
2014,2,600165.222776646,926667.377037218
2014,3,602139.15278119,928698.569106346
2014,4,604025.56989914,931857.910994686
2014,5,607423.513861019,938839.196185694
2014,6,606425.585355956,937515.070671086
2014,7,605509.7944344,936943.219500396
2014,8,604020.312979282,935337.105265973
2014,9,602157.943106814,931750.303315383
2014,10,598917.309079031,924952.815455229
2014,11,594614.551389632,915021.312692067
2014,12,599215.412555072,922075.518703983
2015,1,607008.160265387,932916.57267417
2015,2,607418.093579865,932549.509038584
2015,3,611368.444346033,937705.022861425
2015,4,615222.536335869,944716.34827496
2015,5,617521.866757639,949243.407741034
2015,6,617440.849047471,948791.393239558
2015,7,618956.691525274,951877.312060741
2015,8,618152.795912543,950373.64874987
2015,9,616533.297732407,946276.813628524
2015,10,614344.224645895,941621.161665445
2015,11,612936.519380969,938469.475692208
2015,12,614794.555229641,941059.312276822
2016,1,619166.565777178,946214.971181833
2016,2,621162.863153894,948013.641676809
2016,3,624620.457687391,952757.197125627
2016,4,624940.245569101,953176.270279684
2016,5,626980.349117188,956580.34783852
2016,6,628907.910960172,960655.096190044
2016,7,627046.36184308,957773.353593002
2016,8,627871.242884532,959366.47301682
2016,9,630751.661669946,963596.933969832
2016,10,624347.501852401,951708.615171691
2016,11,624925.486186639,952523.258287804
2016,12,626940.73891309,955519.056450213
2017,1,628587.219192664,959183.786757022
2017,2,632463.993460903,967518.918738945
2017,3,636636.39014953,975093.691158731
2017,4,635012.75482725,973323.354047554
2017,5,638836.712414508,981412.043358124
2017,6,640044.778685375,985321.788997398
2017,7,637686.346100974,982069.973018125
2017,8,640276.514712838,987529.213561741
2017,9,639858.489970175,986682.568993889
2017,10,636477.451625046,980428.921612414
2017,11,639947.007204967,986644.818286618
2017,12,639903.200102321,986788.305414541
2018,1,640702.699216073,987791.0743207
2018,2,643213.152415623,992001.642872939
2018,3,643153.620685508,991378.908526507
2018,4,642684.051839841,991626.839068357
2018,5,646719.597865938,999602.403223876
2018,6,647559.369266846,1002023.19667126
2018,7,644766.191285535,997876.702085805
2018,8,648247.261171286,1005241.27394665
2018,9,644610.731478859,998738.434853842
2018,10,643030.895198171,993953.450605522
2018,11,644084.216127731,996355.86420457
