"year","board_number","board_name","board_type","school_number","school_name","school_type","school_special_condition_code","school_level","school_language","grade_range","street","municipality","city","postal_code","enrolment","latitude","longitude","percentage_of_students_whose_first_language_is_not_english","percentage_of_students_whose_first_language_is_not_french","percentage_of_students_who_are_new_to_canada_from_a_non_english_speaking_country","percentage_of_students_who_are_new_to_canada_from_a_non_french_speaking_country","percentage_of_students_receiving_special_education_services","percentage_of_students_identified_as_gifted","percentage_of_grade_3_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_3_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_3_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_6_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_6_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_6_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_academic_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_applied_mathematics","percentage_of_students_that_passed_the_grade_10_osslt_on_their_first_attempt","percentage_of_school_aged_children_who_live_in_low_income_households","percentage_of_students_whose_parents_have_no_degree_diploma_or_certificate","percentage_of_grade_9_students_achieving_the_provincial_standard_in_mathematics"
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","902344","Algoma Education Connection Secondary School","Public","Alternative","Secondary","English","9-12","550 Northern Ave","Sault Ste. Marie","Sault Ste Marie","P6B4J4","200",46.53477,-84.3077,0,100,0,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","019186","Anna McCrea Public School","Public","Not applicable","Elementary","English","JK-8","250 Mark St","Sault Ste. Marie","Sault Ste Marie","P6A3M7","180",46.50593,-84.2873,0,100,0,0,15,0,79,50,64,86,43,36,NA,NA,NA,10,0,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","067679","Arthur Henderson Public School","Public","Not applicable","Elementary","English","JK-8","2 Henderson Lane 2","Bruce Mines","Bruce Mines","P0R1C0","65",46.30183,-83.7802,0,100,0,0,0,0,80,73,53,NA,NA,NA,NA,NA,NA,30,20,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","043362","Ben R McMullin Public School","Public","Not applicable","Elementary","English","JK-8","24 Paradise Ave","Sault Ste. Marie","Sault Ste Marie","P6B5K2","175",46.52455,-84.298,5,100,0,5,15,0,62,31,38,50,42,25,NA,NA,NA,30,10,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","054542","Blind River Public School","Public","Not applicable","Elementary","English","JK-8","19 Hanes Ave","Blind River","Blind River","P0R1B0","150",46.18454,-82.9576,5,100,0,0,25,0,59,41,45,78,28,22,NA,NA,NA,25,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","490822","Boreal French Immersion Public School","Public","Not applicable","Elementary","English","1-8","232 Northern Ave","Sault Ste. Marie","Sault Ste Marie","P6B4H6","315",46.52447,-84.3107,0,100,0,0,5,0,NA,NA,64,90,86,71,NA,NA,NA,15,0,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","285552","Central Algoma Elementary School","Public","Not applicable","Elementary","English","JK-8","5 Margaret St","Johnson","Desbarats","P0R1E0","115",46.34875,-83.9253,5,100,0,0,20,0,75,42,67,80,70,50,NA,NA,NA,30,25,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","137967","Central Algoma Intermediate School","Public","Not applicable","Elementary","English","7-8","32 Kensington Road","Huron Shores","Desbarats","P0R1E0","170",46.34007,-83.9369,0,100,0,0,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","891347","Central Algoma Secondary School","Public","Not applicable","Secondary","English","9-12","32 Kensington Rd","Johnson","Desbarats","P0R1E0","330",46.33811,-83.9355,5,100,0,0,30,0,NA,NA,NA,NA,NA,NA,70,51,64,20,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","093548","Central Avenue Public School","Public","Not applicable","Elementary","English","JK-8","81 Central Ave","Elliot Lake","Elliot Lake","P5A2G4","275",46.3904,-82.6588,5,95,0,0,20,0,16,8,4,42,45,16,NA,NA,NA,30,15,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","900869","Chapleau High School","Public","Not applicable","Secondary","English","9-12","20 Teak St","Chapleau","Chapleau","P0M1K0","70",47.84273,-83.4083,0,100,0,0,30,0,NA,NA,NA,NA,NA,NA,NA,NA,46,0,10,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","101214","Chapleau Public School","Public","Not applicable","Elementary","English","JK-8","24 Pine St","Chapleau","Chapleau","P0M1K0","90",47.84496,-83.4033,0,90,0,0,10,0,33,58,25,NA,NA,NA,NA,NA,NA,10,10,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","161276","East View Public School","Public","Not applicable","Elementary","English","JK-8","75 Arizona Ave","Sault Ste. Marie","Sault Ste Marie","P6A4L9","305",46.51668,-84.28,0,100,5,5,15,0,60,52,44,70,60,18,NA,NA,NA,20,10,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","165042","Echo Bay Central Public School","Public","Not applicable","Elementary","English","JK-8","290 Church St","Macdonald Meredith et al","Echo Bay","P0S1C0","195",46.48567,-84.0637,0,100,0,0,10,0,61,71,68,77,45,18,NA,NA,NA,10,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","908010","Elliot Lake Secondary School","Public","Not applicable","Secondary","English","9-12","303 Mississauga Ave","Elliot Lake","Elliot Lake","P5A1E8","290",46.37627,-82.6611,5,100,0,0,20,0,NA,NA,NA,NA,NA,NA,86,52,82,15,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","186783","Esten Park Public School","Public","Not applicable","Elementary","English","JK-8","115 Hergott Ave","Elliot Lake","Elliot Lake","P5A3B4","120",46.37191,-82.6198,5,95,0,0,5,0,62,75,69,87,80,67,NA,NA,NA,30,15,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","202614","Francis H Clergue Public School","Public","Not applicable","Elementary","English","JK-8","80 Weldon Ave","Sault Ste. Marie","Sault Ste Marie","P6B3C6","660",46.51862,-84.3096,2,100,0,1,6,0,NA,NA,62,95,91,77,NA,NA,NA,18,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","227331","Grand View Public School","Public","Not applicable","Elementary","English","JK-8","161 Denwood Dr","Sault Ste. Marie","Sault Ste Marie","P6A5R4","265",46.50955,-84.2659,0,100,0,0,20,0,82,64,55,84,73,46,NA,NA,NA,10,0,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","230561","Greenwood Public School","Public","Not applicable","Elementary","English","JK-8","8 Fourth Line W","Sault Ste. Marie","Sault Ste Marie","P6A5K8","210",46.56732,-84.3528,0,100,0,0,15,0,76,64,52,52,59,41,NA,NA,NA,15,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","237191","H M Robbins Public School","Public","Not applicable","Elementary","English","JK-8","83 East Balfour St","Sault Ste. Marie","Sault Ste Marie","P6C1X4","245",46.5328,-84.3895,0,100,0,0,20,0,71,71,50,66,62,22,NA,NA,NA,25,10,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","917370","Hornepayne High School","Public","Not applicable","Secondary","English","9-12","162 Fourth Avenue","Hornepayne","Hornepayne","P0M1Z0","50",49.21525,-84.7789,10,100,0,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,45,10,0,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","264750","Hornepayne Public School","Public","Not applicable","Elementary","English","JK-8","162 Fourth Ave","Hornepayne","Hornepayne","P0M1Z0","SP",49.2167,-84.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","278270","Isabel Fletcher Public School","Public","Not applicable","Elementary","English","JK-8","599 Third Line","Sault Ste. Marie","Sault Ste Marie","P6A6K4","175",46.55114,-84.3789,5,100,5,0,15,0,52,52,71,59,55,45,NA,NA,NA,20,10,NA
