"year","board_number","board_name","board_type","junior_kindergarten_enrolment","kindergarten_enrolment","grade_1_enrolment","grade_2_enrolment","grade_3_enrolment","grade_4_enrolment","grade_5_enrolment","grade_6_enrolment","grade_7_enrolment","grade_8_enrolment","total_enrolment"
"2011-2012","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",658,649,652,602,610,617,651,655,676,714,6484
"2011-2012","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",776,720,724,755,713,759,761,776,786,794,7564
"2011-2012","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",973,1004,1021,1019,1018,1030,1076,1043,1106,1213,10503
"2011-2012","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1104,1134,1132,1127,1071,1098,1228,1136,1233,1343,11606
"2011-2012","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",584,592,605,661,623,646,680,673,708,696,6468
"2011-2012","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",245,206,249,220,244,213,249,246,244,271,2387
"2011-2012","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",746,784,817,789,888,864,965,957,1108,1185,9103
"2011-2012","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",1042,1053,982,900,812,822,724,709,781,724,8549
"2011-2012","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",1004,1008,929,832,766,653,650,581,473,496,7392
"2011-2012","B67300","CSD des Écoles catholiques du Sud-Ouest","Cath Dist Sch Brd (E/F)",847,888,899,796,719,662,613,595,607,484,7110
"2011-2012","B28118","CSD du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",190,168,154,177,162,120,143,134,149,144,1541
"2011-2012","B28100","CSD du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",198,147,171,140,136,138,136,148,147,127,1488
"2011-2012","B67318","CSDC Centre-Sud","Cath Dist Sch Brd (E/F)",1244,1283,1308,1193,1166,1073,1067,937,995,894,11160
"2011-2012","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",781,716,754,733,678,673,735,684,739,721,7214
"2011-2012","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",69,85,66,65,77,63,58,46,59,45,633
"2011-2012","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",404,455,402,398,421,432,441,452,484,487,4376
"2011-2012","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1776,1814,1646,1626,1543,1539,1432,1433,1286,1305,15400
"2011-2012","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",525,606,512,525,519,506,495,485,446,460,5079
"2011-2012","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",191,200,168,194,179,207,211,205,202,214,1971
"2011-2012","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2230,2239,2277,2364,2359,2362,2609,2480,2622,2786,24328
"2011-2012","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",419,433,438,435,416,427,433,496,473,487,4457
"2011-2012","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",4151,4323,4846,5027,4858,5042,5405,5462,5702,6020,50836
