"year","course_code","course_description","grade","pathway_or_destination","enrolment"
"2011-2012","ADA1O","Drama","Grade 9","Open (Grade 9 - 12 level)","35062"
"2011-2012","ADA2O","Drama","Grade 10","Open (Grade 9 - 12 level)","28687"
"2011-2012","ADA3M","Drama","Grade 11","University/College Preparation (Grade 11 & 12 level)","12196"
"2011-2012","ADA3O","Drama","Grade 11","Open (Grade 9 - 12 level)","2838"
"2011-2012","ADA4E","Drama","Grade 12","Workplace Preparation (Grade 11 & 12 level)","197"
"2011-2012","ADA4M","Drama","Grade 12","University/College Preparation (Grade 11 & 12 level)","8349"
"2011-2012","ADA4O","Dramatic Arts","Grade 12","Open (Grade 9 - 12 level)","<10"
"2011-2012","ADB1O","Drama - Musical Theatre","Grade 9","Open (Grade 9 - 12 level)","151"
"2011-2012","ADB2O","Drama - Musical Theatre","Grade 10","Open (Grade 9 - 12 level)","213"
"2011-2012","ADB3M","Drama - Musical Theatre","Grade 11","University/College Preparation (Grade 11 & 12 level)","591"
"2011-2012","ADB3O","Drama - Musical Theatre","Grade 11","Open (Grade 9 - 12 level)","141"
"2011-2012","ADB4M","Drama - Musical Theatre","Grade 12","University/College Preparation (Grade 11 & 12 level)","509"
"2011-2012","ADC1O","Drama in the Community","Grade 9","Open (Grade 9 - 12 level)","160"
"2011-2012","ADC2O","Drama in the Community","Grade 10","Open (Grade 9 - 12 level)","158"
"2011-2012","ADC3M","Drama in the Community","Grade 11","University/College Preparation (Grade 11 & 12 level)","193"
"2011-2012","ADC3O","Drama in the Community","Grade 11","Open (Grade 9 - 12 level)","90"
"2011-2012","ADC4M","Drama in the Community","Grade 12","University/College Preparation (Grade 11 & 12 level)","308"
"2011-2012","ADD1O","Drama - Production","Grade 9","Open (Grade 9 - 12 level)","546"
"2011-2012","ADD2O","Drama - Production","Grade 10","Open (Grade 9 - 12 level)","710"
"2011-2012","ADD3M","Drama - Production","Grade 11","University/College Preparation (Grade 11 & 12 level)","1064"
"2011-2012","ADD3O","Drama - Production","Grade 11","Open (Grade 9 - 12 level)","220"
"2011-2012","ADD4M","Drama - Production","Grade 12","University/College Preparation (Grade 11 & 12 level)","1121"
"2011-2012","ADD4O","Dramatic Arts - Production","Grade 12","Open (Grade 9 - 12 level)","<10"
"2011-2012","ADF3M","Director's Craft","Grade 11","University/College Preparation (Grade 11 & 12 level)","45"
"2011-2012","ADF4M","Director's Craft","Grade 12","University/College Preparation (Grade 11 & 12 level)","170"
"2011-2012","ADG3M","Drama - Acting/Improvisation","Grade 11","University/College Preparation (Grade 11 & 12 level)","248"
"2011-2012","ADG3O","Drama - Acting/Improvisation","Grade 11","Open (Grade 9 - 12 level)","58"
"2011-2012","ADG4M","Drama - Acting/Improvisation","Grade 12","University/College Preparation (Grade 11 & 12 level)","232"
"2011-2012","ADH4T","Performing Arts Career Studies","Grade 12","College Delivered (Dual Credits)","<10"
"2011-2012","ADP3M","Drama - Playwriting/Theatre Development","Grade 11","University/College Preparation (Grade 11 & 12 level)","45"
"2011-2012","ADP3O","Drama - Playwriting/Theatre Development","Grade 11","Open (Grade 9 - 12 level)","25"
"2011-2012","ADP4M","Drama - Playwriting/Theatre Development","Grade 12","University/College Preparation (Grade 11 & 12 level)","126"
"2011-2012","ADT4M","Drama - Canadian Theatre","Grade 12","University/College Preparation (Grade 11 & 12 level)","<10"
"2011-2012","ADV1O","Drama - Film/Video","Grade 9","Open (Grade 9 - 12 level)","95"
"2011-2012","ADV2O","Drama - Film/Video","Grade 10","Open (Grade 9 - 12 level)","178"
"2011-2012","ADV3M","Drama - Film/Video","Grade 11","University/College Preparation (Grade 11 & 12 level)","458"
"2011-2012","ADV3O","Drama - Film/Video","Grade 11","Open (Grade 9 - 12 level)","123"
"2011-2012","ADV4M","Drama - Film/Video","Grade 12","University/College Preparation (Grade 11 & 12 level)","394"
"2011-2012","AEA3O","Exploring and Creating in the Arts","Grade 11","Open (Grade 9 - 12 level)","226"
"2011-2012","AEA4O","Exploring and Creating in the Arts","Grade 12","Open (Grade 9 - 12 level)","1652"
"2011-2012","AEB4T","Exploring Art and Design","Grade 12","College Delivered (Dual Credits)","65"
"2011-2012","AED4T","Art and Design Portfolio Development","Grade 12","College Delivered (Dual Credits)","31"
"2011-2012","AEF4T","Design","Grade 12","College Delivered (Dual Credits)","17"
"2011-2012","AEH4T","Elements of Décor","Grade 12","College Delivered (Dual Credits)","<10"
"2011-2012","AEI4T","Colour in Decoration","Grade 12","College Delivered (Dual Credits)","<10"
"2011-2012","AEL4T","Basic  Design","Grade 12","College Delivered (Dual Credits)","17"
"2011-2012","AFB4T","Painting and Drawing","Grade 12","College Delivered (Dual Credits)","11"
