"year","board_number","board_name","board_type","grade_9_enrolment","grade_10_enrolment","grade_11_enrolment","grade_12_enrolment","total_enrolment"
"2011-2012","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",868,882,953,1525,4228
"2011-2012","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",861,951,1224,1423,4459
"2011-2012","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",1299,1435,1543,2237,6514
"2011-2012","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1281,1329,1386,2358,6354
"2011-2012","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",864,891,946,1278,3979
"2011-2012","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",274,312,280,497,1363
"2011-2012","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",1095,1124,1156,1461,4836
"2011-2012","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",828,867,947,1343,3985
"2011-2012","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",396,388,391,416,1591
"2011-2012","B67300","CSD des écoles catholiques du Sud-Ouest","Cath Dist Sch Brd (E/F)",421,360,386,420,1587
"2011-2012","B28118","CSD du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",116,165,201,267,749
"2011-2012","B28100","CSD du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",108,90,104,151,453
"2011-2012","B67318","CSDC Centre-Sud","Cath Dist Sch Brd (E/F)",722,747,669,711,2849
"2011-2012","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",795,838,871,1064,3568
"2011-2012","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",23,14,29,17,83
"2011-2012","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",529,500,563,605,2197
"2011-2012","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1209,1199,1153,1131,4692
"2011-2012","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",488,527,461,544,2020
"2011-2012","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",201,216,231,345,993
"2011-2012","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2717,3024,3334,5091,14166
"2011-2012","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",741,763,782,1343,3629
"2011-2012","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",7720,8064,8545,10094,34423
"2011-2012","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1832,1996,2034,2587,8449
"2011-2012","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",5167,5270,5812,7258,23507
"2011-2012","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",2071,2279,2301,3502,10153
"2011-2012","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2858,2827,2942,4028,12655
"2011-2012","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",2355,2308,2389,3129,10181
"2011-2012","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",4050,4181,4136,6396,18763
"2011-2012","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",2335,2335,2408,4135,11213
"2011-2012","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3642,3790,3875,6101,17408
"2011-2012","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",1232,1282,1490,1999,6003
"2011-2012","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",297,305,374,472,1448
"2011-2012","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",400,313,348,467,1528
"2011-2012","B15148","James Bay Lowlands SSB","Sec Sch Brd (Sch Auth)",41,68,47,29,185
"2011-2012","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2449,2731,2973,4637,12790
"2011-2012","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",463,554,573,802,2392
"2011-2012","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",112,96,87,103,398
"2011-2012","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",734,915,922,1258,3829
"2011-2012","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1890,1937,2046,2960,8833
"2011-2012","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1439,1651,1767,3302,8159
"2011-2012","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1701,1835,1961,2715,8212
"2011-2012","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",894,902,966,1347,4109
"2011-2012","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1790,1861,2067,2479,8197
"2011-2012","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",178,199,252,302,931
"2011-2012","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",87,118,100,151,456
"2011-2012","B67180","Ottawa CDSB","Cath Dist Sch Brd (E/F)",3235,3365,3856,4383,14839
"2011-2012","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",5365,5437,5763,8486,25051
"2011-2012","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",12516,11396,11689,9997,45598
"2011-2012","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",1166,1245,1205,1516,5132
"2011-2012","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",1181,1181,1284,1963,5609
"2011-2012","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",268,264,275,420,1227
"2011-2012","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",218,258,270,355,1101
"2011-2012","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",810,870,991,1389,4060
"2011-2012","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3814,3932,4167,6181,18094
"2011-2012","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1797,1960,1915,2350,8022
"2011-2012","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",649,666,705,942,2962
"2011-2012","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",552,523,501,661,2237
"2011-2012","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",215,181,205,300,901
"2011-2012","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",5496,5528,5923,8978,25925
"2011-2012","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",593,616,622,717,2548
"2011-2012","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",7171,7083,7520,9360,31134
"2011-2012","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",17859,19280,20424,28422,85985
"2011-2012","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1491,1449,1798,2310,7048
"2011-2012","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",2237,2343,2613,4853,12046
"2011-2012","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2809,2638,2752,4051,12250
"2011-2012","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1485,1665,1659,2409,7218
