Board Number|Board Name|Junior Kindergarten Enrolment|Kindergarten Enrolment|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Total Enrolment
B28010|Algoma DSB|634|661|665|652|644|610|637|619|643|737|6502
B67202|Algonquin and Lakeshore CDSB|768|816|846|765|741|761|716|788|737|747|7685
B66010|Avon Maitland DSB|968|1010|1021|1038|1007|1014|1008|1052|1066|1067|10251
B66001|Bluewater DSB|1026|1202|1156|1126|1129|1121|1087|1103|1235|1118|11303
B67164|Brant Haldimand Norfolk CDSB|553|580|620|622|616|665|633|671|677|655|6292
B67008|Bruce-Grey CDSB|271|256|272|222|262|230|251|228|255|253|2500
B67172|CDSB of Eastern Ontario|760|814|816|813|808|819|879|862|1042|1009|8622
B66311|CÉP de l'Est de l'Ontario|1114|1132|1076|1030|949|903|845|846|790|797|9482
B67300|Conseil scolaire catholique Providence|835|872|858|855|846|779|705|636|576|573|7535
B66303|CS Viamonde|1120|1107|1050|976|917|843|750|634|584|514|8495
B28118|CSD du Grand Nord de l'Ontario|169|179|188|174|153|172|158|123|143|151|1610
B28100|CSD du Nord-Est de l'Ontario|217|181|202|161|162|139|129|124|107|123|1545
B67318|CSDC Centre-Sud|1347|1452|1355|1330|1307|1184|1134|1060|1007|906|12082
B67326|CSDC de l'Est ontarien|776|756|796|729|731|730|694|667|695|659|7233
B29130|CSDC des Aurores boréales|67|72|61|73|67|57|65|65|60|44|631
B29106|CSDC des Grandes Rivières|465|442|394|440|395|387|416|439|435|429|4242
B67334|CSDC du Centre-Est de l'Ontario|1753|1860|1844|1817|1672|1632|1554|1577|1303|1292|16304
B29122|CSDC du Nouvel-Ontario|560|545|535|577|492|515|513|488|482|453|5160
B29114|CSDC Franco-Nord|194|201|195|204|175|192|186|199|225|225|1996
B66150|DSB Niagara|2361|2308|2373|2314|2295|2438|2446|2429|2660|2534|24158
B28002|DSB Ontario North East|437|462|422|442|409|453|470|392|407|467|4361
B67083|Dufferin-Peel CDSB|4175|4662|4885|4832|5029|5163|5019|5234|5544|5594|50137
B67105|Durham CDSB|1365|1341|1472|1401|1444|1454|1485|1503|1570|1555|14590
B66060|Durham DSB|4345|4414|4718|4691|4731|4704|4833|4673|4967|4871|46947
B66168|Grand Erie DSB|1633|1799|1711|1747|1726|1697|1792|1731|1896|1836|17568
B66028|Greater Essex County DSB|2243|2396|2433|2350|2430|2361|2444|2362|2490|2546|24055
B67113|Halton CDSB|1962|2071|2095|2062|2064|2129|2188|2122|2236|2021|20950
B66133|Halton DSB|3642|4048|4637|4508|4421|4536|4438|4270|4183|4009|42692
B67121|Hamilton-Wentworth CDSB|1750|1875|1818|1781|1904|1844|1898|1875|2019|1915|18679
B66141|Hamilton-Wentworth DSB|3284|3414|3513|3447|3344|3397|3470|3333|3574|3543|34319
B66222|Hastings & Prince Edward DSB|919|1032|1035|1004|994|1016|1018|1041|1067|1066|10192
B67016|Huron Perth CDSB|292|306|325|297|306|321|319|296|314|304|3080
B29025|Huron-Superior CDSB|323|352|329|324|349|365|365|349|395|397|3548
B66079|Kawartha Pine Ridge DSB|2096|2190|2122|2086|2098|2218|2101|2253|2296|2221|21681
B28045|Keewatin-Patricia DSB|271|274|275|252|264|277|289|289|287|313|2791
B29050|Kenora CDSB|112|122|125|125|116|121|95|100|145|101|1162
B28061|Lakehead DSB|609|625|602|569|646|580|617|578|624|604|6054
B66036|Lambton Kent DSB|1352|1463|1493|1466|1430|1539|1431|1451|1597|1514|14736
B66206|Limestone DSB|1282|1326|1325|1317|1322|1275|1274|1335|1376|1373|13205
B67032|London District Catholic School Board|988|1125|1150|1162|1181|1173|1248|1226|1301|1312|11866
B15199|Moose Factory Island DSAB|41|33|39|35|34|28|26|27|14|20|297
B15202|Moosonee DSAB|30|32|31|30|30|36|20|16|20|21|266
B28037|Near North DSB|610|704|618|655|620|659|624|671|721|704|6586
B67156|Niagara CDSB|1312|1451|1466|1498|1525|1510|1536|1496|1583|1570|14947
B29017|Nipissing-Parry Sound CDSB|187|195|199|171|215|204|232|212|181|242|2038
B29009|Northeastern CDSB|164|173|184|183|175|153|189|182|231|229|1863
B29041|Northwest CDSB|141|133|131|148|143|127|108|123|119|155|1328
B67180|Ottawa CDSB|2545|2484|2337|2392|2428|2484|2555|2503|2887|2838|25453
B66184|Ottawa-Carleton DSB|4259|4785|4862|4849|4777|5067|5046|4916|4652|4751|47964
B66125|Peel DSB|9828|10655|11374|11602|11378|11271|11189|10737|11221|11237|110492
B79910|Penetanguishene PSSB|20|22|29|17|28|21|23|20|21|23|224
B67067|Peterborough Victoria Northumberland and Clarington CDSB|914|977|943|988|954|943|948|923|1041|931|9562
B28029|Rainbow DSB|812|873|855|814|813|821|833|844|939|925|8529
B28053|Rainy River DSB|149|173|181|166|180|180|174|180|196|197|1776
B67199|Renfrew County CDSB|369|370|405|332|347|352|361|349|385|361|3631
B66214|Renfrew County DSB|535|593|583|551|529|580|607|594|617|599|5788
B66109|Simcoe County DSB|3343|3368|3444|3386|3415|3479|3589|3508|3716|3573|34821
B67091|Simcoe Muskoka CDSB|1251|1333|1302|1372|1318|1354|1357|1353|1366|1355|13361
B67040|St Clair CDSB|598|649|558|625|628|620|644|634|640|643|6239
B29033|Sudbury CDSB|400|385|416|399|386|384|384|431|465|499|4149
B29076|Superior North CDSB|71|71|72|61|76|75|91|80|80|70|747
B28070|Superior-Greenstone DSB|78|87|80|81|81|67|76|77|87|91|805
B66044|Thames Valley DSB|4791|5185|5291|5157|4911|5032|4947|5032|5231|5058|50635
B29068|Thunder Bay CDSB|556|555|553|531|546|533|567|589|597|603|5630
B67059|Toronto CDSB|5615|5760|6039|5964|6070|5947|6117|6011|6524|6437|60484
B66052|Toronto DSB|17653|18589|18844|17973|17339|16982|16599|16269|15969|16677|172894
B66087|Trillium Lakelands DSB|983|1096|1134|1005|1073|1039|1090|1019|1159|1176|10774
B66192|Upper Canada DSB|1672|1747|1814|1808|1735|1805|1859|1714|1811|1917|17882
B66117|Upper Grand DSB|2144|2292|2203|2287|2136|2159|2183|2141|2198|2225|21968
B67148|Waterloo CDSB|1353|1399|1405|1507|1441|1518|1509|1519|1515|1486|14652
B66176|Waterloo Region DSB|3982|4292|4537|4286|4272|4201|4148|3964|4273|4148|42103
B67130|Wellington CDSB|466|512|514|529|548|580|564|589|601|624|5527
B67024|Windsor-Essex CDSB|1064|1160|1200|1331|1389|1399|1463|1532|1586|1639|13763
B67075|York CDSB|3163|3353|3773|3772|3808|3908|3760|3912|4002|3868|37319
B66095|York Region DSB|6912|7287|8489|8258|8195|8583|8367|8648|8687|8801|82227
