BOARD NUMBER|BOARD NAME|Junior Kindergarten|Kindergarten|Grade 1|Grade 2|Grade 3|Grade 4|Grade 5|Grade 6|Grade 7|Grade 8|Total Enrolment
B28010|Algoma DSB|614|570|648|631|660|641|646|618|665|695|6388
B67202|Algonquin and Lakeshore CDSB|705|812|813|825|839|787|752|756|700|735|7724
B66010|Avon Maitland DSB|886|967|1016|1004|1023|1015|1007|1010|1012|1071|10011
B66001|Bluewater DSB|1079|1194|1108|1186|1147|1109|1134|1132|1084|1107|11280
B67164|Brant Haldimand Norfolk CDSB|561|594|609|635|627|655|641|666|640|677|6305
B67008|Bruce-Grey CDSB|286|264|303|262|279|224|277|239|252|225|2611
B67172|CDSB of Eastern Ontario|712|821|808|836|855|840|848|842|995|979|8536
B66303|CS Viamonde|1048|1087|1124|1084|1013|930|861|816|626|586|9175
B28118|CSD du Grand Nord de l'Ontario|196|173|188|185|176|188|154|172|168|143|1743
B28100|CSD du Nord-Est de l'Ontario|169|169|218|190|193|149|155|128|121|101|1593
B67318|CSDC Centre-Sud|1348|1400|1429|1467|1329|1319|1275|1111|1136|994|12808
B29114|CSDC Franco-Nord|209|214|197|194|193|201|164|188|177|223|1960
B67326|CSDC de l'Est ontarien|747|753|791|762|760|718|733|714|674|655|7307
B29130|CSDC des Aurores boréales|61|65|70|77|62|77|59|54|67|62|654
B29106|CSDC des Grandes Rivières|428|426|454|419|388|432|392|391|410|418|4158
B67334|CSDC du Centre-Est de l'Ontario|1694|1794|1852|1903|1798|1803|1681|1672|1391|1387|16975
B29122|CSDC du Nouvel-Ontario|494|554|541|529|523|543|478|501|471|454|5088
B67300|Conseil scolaire catholique Providence|842|800|823|843|821|827|810|760|704|619|7849
B66311|CÉP de l'Est de l'Ontario|1078|1190|1178|1139|1078|1056|955|886|900|952|10412
B66150|DSB Niagara|2207|2289|2556|2417|2428|2383|2404|2523|2534|2474|24215
B28002|DSB Ontario North East|410|426|438|451|387|418|419|442|406|403|4200
B67083|Dufferin-Peel CDSB|4373|4484|4738|5005|5001|5012|5157|5301|5157|5326|49554
B67105|Durham CDSB|1239|1400|1501|1453|1494|1420|1500|1474|1477|1487|14445
B66060|Durham DSB|4403|4586|4824|4700|4831|4900|4882|4859|5003|4844|47832
B66168|Grand Erie DSB|1627|1759|1756|1807|1765|1753|1757|1735|1821|1760|17540
B66028|Greater Essex County DSB|2055|2273|2351|2392|2438|2326|2431|2366|2424|2398|23454
B67113|Halton CDSB|2062|2206|2243|2270|2205|2166|2179|2217|2256|2145|21949
B66133|Halton DSB|3611|3767|4389|4543|4779|4657|4556|4728|4597|4424|44051
B67121|Hamilton-Wentworth CDSB|1685|1812|1859|1927|1854|1809|1919|1885|1891|1880|18521
B66141|Hamilton-Wentworth DSB|3178|3335|3508|3488|3477|3474|3361|3425|3514|3416|34176
B66222|Hastings & Prince Edward DSB|918|1012|975|1064|1028|1019|1003|1033|1022|1056|10130
B67016|Huron Perth CDSB|297|321|306|321|319|297|305|313|307|276|3062
B29025|Huron-Superior CDSB|373|419|351|359|337|339|362|356|350|315|3561
B66079|Kawartha Pine Ridge DSB|2052|2171|2224|2250|2192|2127|2127|2207|2148|2270|21768
B28045|Keewatin-Patricia DSB|264|281|281|283|278|254|281|290|301|282|2795
B29050|Kenora CDSB|108|91|115|122|122|131|115|126|99|117|1146
B28061|Lakehead DSB|556|631|634|613|583|567|615|582|597|574|5952
B66036|Lambton Kent DSB|1353|1363|1437|1462|1476|1464|1433|1542|1440|1440|14410
B66206|Limestone DSB|1239|1287|1337|1332|1312|1281|1306|1275|1310|1386|13065
B67032|London District Catholic School Board|1135|1163|1149|1214|1235|1237|1228|1202|1290|1233|12086
B15199|Moose Factory Island DSAB|29|42|47|35|36|36|38|29|SP|10|SP
B15202|Moosonee DSAB|27|24|33|28|20|26|25|33|16|14|246
B28037|Near North DSB|641|667|638|699|650|659|662|672|671|716|6675
B67156|Niagara CDSB|1317|1324|1415|1536|1511|1550|1521|1531|1562|1528|14795
B29017|Nipissing-Parry Sound CDSB|160|164|200|191|200|176|201|201|211|186|1890
B29009|Northeastern CDSB|156|136|176|182|202|191|171|163|206|178|1761
B29041|Northwest CDSB|125|160|151|134|130|138|140|106|91|114|1289
B67180|Ottawa CDSB|2546|2694|2778|2680|2606|2556|2566|2660|3028|2919|27033
B66184|Ottawa-Carleton DSB|4335|4630|4705|4849|4799|4843|4758|5037|4728|4835|47519
B66125|Peel DSB|10163|10550|10974|11439|11516|11690|11495|11337|11261|10979|111404
B79910|Penetanguishene PSSB|25|18|25|27|28|23|27|22|21|20|236
B67067|Peterborough Victoria Northumberland and Clarington CDSB|993|1020|997|1021|993|1029|990|1001|1009|955|10008
B28029|Rainbow DSB|785|837|860|910|846|838|841|844|828|837|8426
B28053|Rainy River DSB|147|165|168|173|183|171|177|187|182|190|1743
B67199|Renfrew County CDSB|350|362|388|371|375|318|330|336|351|360|3541
B66214|Renfrew County DSB|562|636|567|587|616|568|540|607|620|594|5897
B66109|Simcoe County DSB|3269|3413|3614|3518|3592|3494|3549|3605|3644|3602|35300
B67091|Simcoe Muskoka CDSB|1222|1302|1375|1407|1392|1441|1391|1370|1400|1391|13691
B67040|St Clair CDSB|607|626|616|665|561|626|629|629|639|641|6239
B29033|Sudbury CDSB|385|376|432|389|416|412|369|371|410|459|4019
B29076|Superior North CDSB|53|70|72|74|78|61|78|85|82|81|734
B28070|Superior-Greenstone DSB|73|87|73|85|79|91|65|66|75|72|766
B66044|Thames Valley DSB|4792|4883|5234|5243|5358|5207|4950|5070|5007|5143|50887
B29068|Thunder Bay CDSB|570|535|564|571|542|521|570|534|564|587|5558
B67059|Toronto CDSB|5506|5790|6025|6050|6165|6082|6129|6077|6298|6186|60308
B66052|Toronto DSB|17099|18090|17850|17943|17733|17115|16501|16179|15565|15780|169855
B66087|Trillium Lakelands DSB|1016|1076|1049|1116|1109|1015|1098|1058|1093|1044|10674
B66192|Upper Canada DSB|1595|1680|1787|1782|1845|1836|1759|1797|1812|1702|17595
B66117|Upper Grand DSB|2190|2313|2290|2344|2229|2333|2201|2186|2225|2202|22513
B67148|Waterloo CDSB|1329|1341|1486|1457|1465|1571|1515|1533|1521|1512|14730
B66176|Waterloo Region DSB|3869|4298|4349|4324|4471|4276|4252|4258|4186|4073|42356
B67130|Wellington CDSB|462|480|503|546|539|543|583|604|598|608|5466
B67024|Windsor-Essex CDSB|1094|1114|1207|1230|1253|1379|1420|1406|1508|1570|13181
B67075|York CDSB|3032|3246|3601|3723|3858|3759|3864|3992|3783|3930|36788
B66095|York Region DSB|6801|7366|8342|8477|8869|8674|8620|8880|8725|8996|83750
