Board Type|Board Number|Board Name|Junior Kindergarten|Kindergarten|Grade 1|Grade 2|Grade 3|Grade 4|Grade 5|Grade 6|Grade 7|Grade 8|Total Enrolment
Public|B28010|Algoma DSB|596|619|569|627|635|650|651|639|628|697|6311
Roman Catholic|B67202|Algonquin and Lakeshore CDSB|779|751|814|806|826|830|791|745|738|704|7784
Public|B66010|Avon Maitland DSB|880|956|977|1037|1026|1028|1059|1023|1048|1040|10074
Public|B66001|Bluewater DSB|1116|1142|1204|1141|1198|1173|1118|1148|1161|1097|11498
Roman Catholic|B67164|Brant Haldimand Norfolk CDSB|608|601|631|617|658|647|662|654|675|658|6411
Roman Catholic|B67008|Bruce-Grey CDSB|257|307|278|313|280|281|238|285|247|253|2739
Roman Catholic|B67172|CDSB of Eastern Ontario|782|756|875|822|847|872|837|861|978|1024|8654
Public|B66303|CS Viamonde|1054|1099|1123|1122|1058|995|923|855|699|631|9559
Roman Catholic|B67318|CS catholique MonAvenir|1378|1437|1429|1433|1474|1349|1299|1264|1114|1128|13305
Public|B28118|CS public du Grand Nord de l'Ontario|197|199|179|180|187|170|196|152|191|170|1821
Public|B28100|CSD du Nord-Est de l'Ontario|194|183|170|209|193|195|155|154|100|120|1673
Roman Catholic|B29114|CSDC Franco-Nord|200|203|214|197|197|192|198|160|203|171|1935
Roman Catholic|B67326|CSDC de l'Est ontarien|722|755|765|790|762|762|739|727|682|657|7361
Roman Catholic|B29130|CSDC des Aurores boréales|70|68|70|68|73|64|69|56|64|69|671
Roman Catholic|B29106|CSDC des Grandes Rivières|410|434|416|444|408|389|424|393|386|400|4104
Roman Catholic|B67334|CSDC du Centre-Est de l'Ontario|1772|1762|1862|1858|1914|1817|1808|1723|1604|1432|17552
Roman Catholic|B29122|CSDC du Nouvel-Ontario|518|493|538|539|518|522|526|481|468|481|5084
Roman Catholic|B67300|Conseil scolaire catholique Providence|860|862|803|820|820|806|825|799|770|698|8063
Public|B66311|CÉP de l'Est de l'Ontario|1126|1156|1229|1211|1190|1085|1078|976|928|893|10872
Public|B66150|DSB Niagara|2251|2328|2380|2626|2499|2516|2473|2481|2596|2596|24746
Public|B28002|DSB Ontario North East|397|411|435|441|425|403|429|391|431|402|4165
