Board Type|Board Number|Board Name|Junior Kindergarten Enrolment|Kindergarten Enrolment|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment |Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Total Enrolment
Public|B28010|Algoma DSB|612|621|628|594|646|662|670|661|645|672|6411
Roman Catholic|B67202|Algonquin and Lakeshore CDSB|712|822|773|835|823|831|857|800|734|751|7938
Public|B66010|Avon Maitland DSB|948|933|966|981|1064|1046|1045|1070|1049|1064|10166
Public|B66001|Bluewater DSB|1137|1198|1199|1237|1168|1230|1194|1151|1172|1174|11860
Roman Catholic|B67164|Brant Haldimand Norfolk CDSB|611|651|636|657|632|689|650|686|660|692|6564
Roman Catholic|B67008|Bruce-Grey CDSB|289|273|312|287|309|286|287|248|288|246|2825
Roman Catholic|B67172|CDSB of Eastern Ontario|800|823|791|887|838|872|883|844|976|950|8664
Public|B66303|CS Viamonde|1104|1128|1119|1104|1134|1027|1006|904|750|713|9989
Roman Catholic|B67318|CS catholique MonAvenir|1368|1431|1440|1446|1432|1466|1320|1299|1289|1100|13591
Public|B28118|CS public du Grand Nord de l'Ontario|207|201|194|182|190|190|178|205|144|184|1875
Public|B28100|CSD du Nord-Est de l'Ontario|176|193|190|171|205|184|196|156|129|94|1694
Roman Catholic|B29114|CSDC Franco-Nord|212|204|199|208|199|190|191|197|179|197|1976
Roman Catholic|B67326|CSDC de l'Est ontarien|758|725|766|756|775|762|778|718|678|670|7386
Roman Catholic|B29130|CSDC des Aurores boréales|68|69|74|71|71|76|61|73|63|62|688
Roman Catholic|B29106|CSDC des Grandes Rivières|448|420|427|406|436|401|381|422|382|393|4116
Roman Catholic|B67334|CSDC du Centre-Est de l'Ontario|1821|1908|1843|1908|1918|1979|1878|1829|1677|1654|18415
Roman Catholic|B29122|CSDC du Nouvel-Ontario|474|511|486|529|518|510|514|509|462|484|4997
Roman Catholic|B67300|Conseil scolaire catholique Providence|822|867|855|796|813|817|794|817|778|768|8127
Public|B66311|CÉP de l'Est de l'Ontario|1237|1228|1201|1285|1223|1210|1126|1081|980|947|11518
Public|B66150|DSB Niagara|2274|2375|2403|2471|2685|2571|2574|2535|2550|2652|25090
Public|B28002|DSB Ontario North East|396|411|421|434|420|435|417|413|401|422|4170
Roman Catholic|B67083|Dufferin-Peel CDSB|4178|4564|4679|4758|4890|5167|5128|5118|5226|5388|49096
Roman Catholic|B67105|Durham CDSB|1268|1321|1367|1515|1584|1505|1539|1449|1540|1509|14597
Public|B66060|Durham DSB|4322|4577|4892|4921|5088|4943|5067|5104|5075|5048|49037
Public|B66168|Grand Erie DSB|1642|1701|1797|1836|1784|1873|1794|1808|1780|1797|17812
Public|B66028|Greater Essex County DSB|2078|2396|2342|2427|2500|2561|2633|2487|2599|2501|24524
Roman Catholic|B67113|Halton CDSB|2083|2148|2306|2309|2350|2384|2318|2253|2242|2280|22673
Public|B66133|Halton DSB|3497|3803|4193|4314|4634|4825|5059|4943|4861|4977|45106
Roman Catholic|B67121|Hamilton-Wentworth CDSB|1774|1745|1812|1870|1927|1966|1920|1834|1941|1912|18701
Public|B66141|Hamilton-Wentworth DSB|3410|3588|3535|3505|3596|3617|3608|3574|3518|3591|35542
Public|B66222|Hastings & Prince Edward DSB|986|974|1001|1040|1001|1109|1061|1061|1036|1079|10348
Roman Catholic|B67016|Huron Perth CDSB|303|362|318|339|312|334|323|305|293|301|3190
Roman Catholic|B29025|Huron-Superior CDSB|360|387|381|400|372|348|339|329|340|342|3598
Public|B66079|Kawartha Pine Ridge DSB|2292|2230|2315|2286|2319|2377|2301|2227|2201|2259|22807
Public|B28045|Keewatin-Patricia DSB|268|295|279|278|291|284|290|266|300|292|2843
Roman Catholic|B29050|Kenora CDSB|64|92|104|92|107|128|118|118|114|107|1044
Public|B28061|Lakehead DSB|595|636|593|630|639|616|610|587|616|564|6086
