Board Number|Board Name|Junior Kindergarten Enrolment|Kindergarten|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Total Enrolment
B28010|Algoma DSB|675|655|655|720|660|665|685|630|730|800|6870
B67202|Algonquin and Lakeshore CDSB|725|735|815|790|765|850|785|835|765|770|7845
B66010|Avon Maitland DSB|945|1060|990|1045|1015|945|1015|1005|1100|1090|10205
B66001|Bluewater DSB|1160|1230|1340|1345|1290|1315|1285|1355|1260|1330|12910
B67164|Brant Haldimand Norfolk CDSB|635|785|715|735|720|770|705|715|710|735|7220
B67008|Bruce-Grey CDSB|300|320|315|365|295|280|320|280|320|285|3080
B67172|CDSB of Eastern Ontario|780|890|955|890|935|905|895|970|1080|1075|9375
B66303|CS Viamonde|1050|1170|1140|1220|1115|1120|1060|1075|940|830|10715
B67318|CS catholique MonAvenir|1010|1130|1250|1215|1285|1305|1305|1270|1295|1360|12435
B28118|CS public du Grand Nord de l'Ontario|205|220|210|195|200|190|200|180|185|180|1960
B28100|CS public du Nord-Est de l'Ontario|175|190|185|180|175|180|170|160|145|120|1675
B29114|CSDC Franco-Nord|160|180|165|165|200|185|185|195|195|185|1810
B67326|CSDC de l'Est ontarien|780|800|785|810|760|740|745|785|765|735|7710
B29130|CSDC des Aurores boréales|80|75|80|65|65|65|60|60|65|70|680
B29106|CSDC des Grandes Rivières|405|390|390|390|400|385|395|375|425|395|3950
B67334|CSDC du Centre-Est de l'Ontario|1725|1880|1910|1905|1950|1990|1910|1955|1895|1880|18995
B29122|CSDC du Nouvel-Ontario|400|455|495|480|410|440|440|465|425|430|4445
B67300|Conseil scolaire catholique Providence|715|755|770|815|755|770|760|730|715|730|7515
B66311|CÉP de l'Est de l'Ontario|1155|1260|1275|1385|1355|1330|1255|1330|1155|1200|12705
B66150|DSB Niagara|2505|2645|2620|2735|2665|2740|2700|2750|2990|2860|27215
B28002|DSB Ontario North East|350|415|425|440|430|490|430|425|465|460|4325
B67083|Dufferin-Peel CDSB|3475|3800|4165|4220|4300|4545|4575|4685|4785|5045|43590
B67105|Durham CDSB|1315|1365|1550|1525|1495|1490|1455|1625|1645|1580|15035
B66060|Durham DSB|4610|4970|5095|5110|5095|5405|5530|5440|5595|5425|52275
B66168|Grand Erie DSB|1615|1825|1890|1835|1855|1800|1895|1910|1910|1965|18495
B66028|Greater Essex County DSB|1960|2240|2255|2360|2360|2560|2515|2625|2695|2755|24315
B67113|Halton CDSB|1700|1980|2140|2260|2345|2350|2470|2475|2525|2525|22765
B66133|Halton DSB|3610|4040|4090|4430|4505|4695|4875|4890|5215|5290|45640
B67121|Hamilton-Wentworth CDSB|1725|1825|1955|1850|1895|1860|1955|1935|2000|2020|19020
B66141|Hamilton-Wentworth DSB|3305|3500|3560|3625|3640|3755|3560|3630|3670|3780|36035
B66222|Hastings & Prince Edward DSB|965|1015|1015|960|1090|1040|1100|1100|1110|1180|10565
B67016|Huron Perth CDSB|285|290|330|315|305|380|305|340|315|335|3205
B29025|Huron-Superior CDSB|295|300|330|375|375|415|370|420|345|295|3525
B66079|Kawartha Pine Ridge DSB|2350|2510|2545|2550|2575|2510|2450|2430|2480|2550|24955
B28045|Keewatin-Patricia DSB|275|285|300|260|275|305|280|295|305|300|2880
B29050|Kenora CDSB|95|70|75|75|75|90|120|100|110|130|940
B28061|Lakehead DSB|625|625|650|640|630|630|595|645|645|620|6315
B66036|Lambton Kent DSB|1335|1380|1510|1450|1390|1450|1490|1470|1525|1550|14550
B66206|Limestone DSB|1270|1395|1330|1320|1315|1335|1335|1345|1450|1480|13580
B67032|London District Catholic School Board|1265|1390|1455|1560|1525|1525|1485|1460|1465|1510|14635
B15199|Moose Factory Island DSAB|20|35|35|35|40|35|30|45|15|<10|295
B15202|Moosonee DSAB|20|25|30|30|25|30|25|20|30|25|255
B28037|Near North DSB|600|635|645|690|675|645|720|665|735|755|6770
B67156|Niagara CDSB|1200|1300|1400|1385|1425|1435|1480|1460|1500|1570|14155
B29017|Nipissing-Parry Sound CDSB|175|185|200|195|185|185|195|195|220|200|1930
B29009|Northeastern CDSB|150|205|165|210|205|195|200|175|220|225|1955
B29041|Northwest CDSB|115|120|130|110|135|135|115|155|130|95|1235
B67180|Ottawa CSB|2425|2775|2935|2935|3115|3310|3245|3280|3380|3435|30840
B66184|Ottawa-Carleton DSB|4200|4630|4840|5045|5070|5100|5185|5265|5250|5430|50010
B66125|Peel DSB|9580|10205|10565|10505|11065|11225|11210|11270|11390|11955|108965
B79910|Penetanguishene PSSB|35|35|50|40|35|30|25|25|30|30|340
B67067|Peterborough Victoria Northumberland and Clarington CDSB|815|900|990|1035|1030|1050|1055|1135|1050|1095|10145
B28029|Rainbow DSB|790|825|895|935|920|885|935|920|935|1035|9075
B28053|Rainy River DSB|135|145|160|160|165|160|170|170|180|200|1650
B67199|Renfrew County CDSB|330|345|395|375|385|370|370|365|355|385|3675
B66214|Renfrew County DSB|550|615|630|645|630|600|600|650|640|600|6155
B66109|Simcoe County DSB|3505|3780|3775|4050|3760|3815|3825|3955|4060|3965|38490
B67091|Simcoe Muskoka CDSB|1365|1530|1525|1535|1545|1565|1570|1620|1695|1675|15630
B67040|St Clair CDSB|540|600|580|555|630|600|655|680|660|670|6175
B29033|Sudbury CDSB|360|420|435|450|490|470|420|440|495|465|4440
B29076|Superior North CDSB|60|75|65|60|65|65|75|70|60|65|670
B28070|Superior-Greenstone DSB|65|65|70|75|55|80|75|85|70|95|730
B66044|Thames Valley DSB|4975|5360|5715|5685|5660|5805|5880|5750|6050|6135|57015
B29068|Thunder Bay CDSB|420|440|460|485|520|505|570|515|555|520|4985
B67059|Toronto CDSB|4945|5295|5655|5875|5800|6025|5925|6155|6200|6285|58155
B66052|Toronto DSB|14725|15795|16215|16410|16550|16785|16170|16360|16170|16575|161755
B66087|Trillium Lakelands DSB|1070|1195|1185|1095|1115|1160|1165|1205|1140|1245|11575
B66192|Upper Canada DSB|1655|1770|1755|1785|1840|1855|1805|1855|1905|1905|18125
B66117|Upper Grand DSB|2260|2400|2380|2425|2410|2500|2435|2395|2485|2475|24170
B67148|Waterloo CDSB|1460|1720|1725|1755|1685|1755|1715|1675|1800|1765|17050
B66176|Waterloo Region DSB|3840|4210|4455|4440|4350|4500|4470|4605|4595|4640|44110
B67130|Wellington CDSB|465|565|595|625|585|565|600|580|630|640|5855
B67024|Windsor-Essex CDSB|1100|1220|1255|1300|1300|1385|1335|1335|1445|1470|13145
B67075|York CDSB|2245|2570|2835|2975|3265|3475|3540|3605|3785|3840|32140
B66095|York Region DSB|6330|7115|8040|8400|8435|9380|8855|9200|9470|9705|84925
N/A|Provincial Total|120525|131155|136515|138930|139650|143480|142285|144230|146755|149035|1392565
