Board Number|Board Name|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enorlment|Total Enrolment
B28010|Algoma DSB|868|882|953|1,525|4,228
B67202|Algonquin and Lakeshore CDSB|861|951|1,224|1,423|4,459
B66010|Avon Maitland DSB|1,299|1,435|1,543|2,237|6,514
B66001|Bluewater DSB|1,281|1,329|1,386|2,358|6,354
B67164|Brant Haldimand Norfolk CDSB|864|891|946|1,278|3,979
B67008|Bruce-Grey CDSB|274|312|280|497|1,363
B67172|CDSB of Eastern Ontario|1,095|1,124|1,156|1,461|4,836
B66311|CÉP de l'Est de l'Ontario|828|867|947|1,343|3,985
B66303|CS Viamonde|396|388|391|416|1,591
B67300|CSD des écoles catholiques du Sud-Ouest|421|360|386|420|1,587
B28118|CSD du Grand Nord de l'Ontario|116|165|201|267|749
B28100|CSD du Nord-Est de l'Ontario|108|90|104|151|453
B67318|CSDC Centre-Sud|722|747|669|711|2,849
B67326|CSDC de l'Est ontarien|795|838|871|1,064|3,568
B29130|CSDC des Aurores boréales|23|14|29|17|83
B29106|CSDC des Grandes Rivières|529|500|563|605|2,197
B67334|CSDC du Centre-Est de l'Ontario|1,209|1,199|1,153|1,131|4,692
B29122|CSDC du Nouvel-Ontario|488|527|461|544|2,020
B29114|CSDC Franco-Nord|201|216|231|345|993
B66150|DSB Niagara|2,717|3,024|3,334|5,091|14,166
B28002|DSB Ontario North East|741|763|782|1,343|3,629
B67083|Dufferin-Peel CDSB|7,720|8,064|8,545|10,094|34,423
B67105|Durham CDSB|1,832|1,996|2,034|2,587|8,449
B66060|Durham DSB|5,167|5,270|5,812|7,258|23,507
B66168|Grand Erie DSB|2,071|2,279|2,301|3,502|10,153
B66028|Greater Essex County DSB|2,858|2,827|2,942|4,028|12,655
B67113|Halton CDSB|2,355|2,308|2,389|3,129|10,181
B66133|Halton DSB|4,050|4,181|4,136|6,396|18,763
B67121|Hamilton-Wentworth CDSB|2,335|2,335|2,408|4,135|11,213
B66141|Hamilton-Wentworth DSB|3,642|3,790|3,875|6,101|17,408
B66222|Hastings & Prince Edward DSB|1,232|1,282|1,490|1,999|6,003
B67016|Huron Perth CDSB|297|305|374|472|1,448
B29025|Huron-Superior CDSB|400|313|348|467|1,528
B15148|James Bay Lowlands SSB|41|68|47|29|185
B66079|Kawartha Pine Ridge DSB|2,449|2,731|2,973|4,637|12,790
B28045|Keewatin-Patricia DSB|463|554|573|802|2,392
B29050|Kenora CDSB|112|96|87|103|398
B28061|Lakehead DSB|734|915|922|1,258|3,829
B66036|Lambton Kent DSB|1,890|1,937|2,046|2,960|8,833
B66206|Limestone DSB|1,439|1,651|1,767|3,302|8,159
B67032|London District Catholic School Board|1,701|1,835|1,961|2,715|8,212
B28037|Near North DSB|894|902|966|1,347|4,109
B67156|Niagara CDSB|1,790|1,861|2,067|2,479|8,197
B29017|Nipissing-Parry Sound CDSB|178|199|252|302|931
B29009|Northeastern CDSB|87|118|100|151|456
B67180|Ottawa CDSB|3,235|3,365|3,856|4,383|14,839
B66184|Ottawa-Carleton DSB|5,365|5,437|5,763|8,486|25,051
B66125|Peel DSB|12,516|11,396|11,689|9,997|45,598
B67067|Peterborough Victoria Northumberland and Clarington CDSB|1,166|1,245|1,205|1,516|5,132
B28029|Rainbow DSB|1,181|1,181|1,284|1,963|5,609
B28053|Rainy River DSB|268|264|275|420|1,227
B67199|Renfrew County CDSB|218|258|270|355|1,101
B66214|Renfrew County DSB|810|870|991|1,389|4,060
B66109|Simcoe County DSB|3,814|3,932|4,167|6,181|18,094
B67091|Simcoe Muskoka CDSB|1,797|1,960|1,915|2,350|8,022
B67040|St Clair CDSB|649|666|705|942|2,962
B29033|Sudbury CDSB|552|523|501|661|2,237
B28070|Superior-Greenstone DSB|215|181|205|300|901
B66044|Thames Valley DSB|5,496|5,528|5,923|8,978|25,925
B29068|Thunder Bay CDSB|593|616|622|717|2,548
B67059|Toronto CDSB|7,171|7,083|7,520|9,360|31,134
B66052|Toronto DSB|17,859|19,280|20,424|28,422|85,985
B66087|Trillium Lakelands DSB|1,491|1,449|1,798|2,310|7,048
B66192|Upper Canada DSB|2,237|2,343|2,613|4,853|12,046
B66117|Upper Grand DSB|2,809|2,638|2,752|4,051|12,250
B67148|Waterloo CDSB|1,485|1,665|1,659|2,409|7,218
B66176|Waterloo Region DSB|4,564|4,800|4,932|7,185|21,481
B67130|Wellington CDSB|565|643|636|825|2,669
B67024|Windsor-Essex CDSB|1,889|2,031|2,284|2,599|8,803
B67075|York CDSB|4,498|4,474|4,545|5,013|18,530
B66095|York Region DSB|8,730|9,236|9,726|12,822|40,514
