Board Number|Board Name|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enrolment|Total Enrolment
B28010|Algoma DSB|713|762|801|1166|3442
B66010|Avon Maitland DSB|1178|1182|1360|1971|5691
B66001|Bluewater DSB|1158|1042|1063|1789|5052
B66303|CS Viamonde|525|439|393|484|1841
B28118|CSD du Grand Nord de l'Ontario|131|127|139|201|598
B28100|CSD du Nord-Est de l'Ontario|94|97|102|194|487
B66311|CÉP de l'Est de l'Ontario|808|856|890|1067|3621
B66150|DSB Niagara|2744|2625|2786|4099|12254
B28002|DSB Ontario North East|578|614|637|1010|2839
B66060|Durham DSB|5241|5003|5235|6165|21644
B66168|Grand Erie DSB|1978|1944|2040|3300|9262
B66028|Greater Essex County DSB|2821|2754|2703|3397|11675
B66133|Halton DSB|4226|4196|4278|5975|18675
B66141|Hamilton-Wentworth DSB|3331|3282|3474|4966|15053
B66222|Hastings & Prince Edward DSB|1099|1143|1167|1532|4941
B15148|James Bay Lowlands SSB|29|45|42|66|182
B66079|Kawartha Pine Ridge DSB|2211|2176|2355|3501|10243
B28045|Keewatin-Patricia DSB|455|457|498|741|2151
B28061|Lakehead DSB|677|691|758|896|3022
B66036|Lambton Kent DSB|1719|1671|1776|2577|7743
B66206|Limestone DSB|1379|1461|1460|2651|6951
B28037|Near North DSB|795|757|816|1166|3534
B66184|Ottawa-Carleton DSB|5196|5208|5353|8176|23933
B66125|Peel DSB|9821|9691|9955|12918|42385
B28029|Rainbow DSB|1089|1082|1105|1773|5049
B28053|Rainy River DSB|244|237|245|413|1139
B66214|Renfrew County DSB|765|735|830|1147|3477
B66109|Simcoe County DSB|3682|3582|3869|4839|15972
B28070|Superior-Greenstone DSB|181|169|187|232|769
B66044|Thames Valley DSB|5385|5167|5337|7735|23624
B66052|Toronto DSB|16016|17048|17219|24422|74705
B66087|Trillium Lakelands DSB|1393|1326|1446|1969|6134
B66192|Upper Canada DSB|1940|2052|2233|3664|9889
B66117|Upper Grand DSB|2504|2514|2674|3832|11524
B66176|Waterloo Region DSB|4561|4440|4524|6457|19982
B66095|York Region DSB|9120|9488|9521|11093|39222
B67202|Algonquin and Lakeshore CDSB|876|816|1060|1285|4037
B67164|Brant Haldimand Norfolk CDSB|824|779|790|999|3392
B67008|Bruce-Grey CDSB|342|333|333|414|1422
B67172|CDSB of Eastern Ontario|958|997|1040|1261|4256
B67318|CSDC Centre-Sud|876|697|775|698|3046
B29114|CSDC Franco-Nord|226|214|217|253|910
B67326|CSDC de l'Est ontarien|714|690|744|782|2930
B29130|CSDC des Aurores boréales|33|27|39|27|126
B29106|CSDC des Grandes Rivières|419|442|491|563|1915
B67334|CSDC du Centre-Est de l'Ontario|1269|1226|1257|1213|4965
B29122|CSDC du Nouvel-Ontario|434|404|375|423|1636
B67300|Conseil scolaire catholique Providence|438|434|432|391|1695
B67083|Dufferin-Peel CDSB|7561|7768|7872|9014|32215
B67105|Durham CDSB|1547|1641|1711|2007|6906
B67113|Halton CDSB|2774|2481|2487|3010|10752
B67121|Hamilton-Wentworth CDSB|2376|2257|2325|3667|10625
B67016|Huron Perth CDSB|334|328|352|437|1451
B29025|Huron-Superior CDSB|365|268|265|430|1328
B29050|Kenora CDSB|125|81|92|97|395
B67032|London District Catholic School Board|1438|1499|1646|2114|6697
B67156|Niagara CDSB|1683|1683|1751|2174|7291
B29017|Nipissing-Parry Sound CDSB|181|230|196|250|857
B29009|Northeastern CDSB|105|105|79|113|402
B67180|Ottawa CDSB|3059|3168|3406|3909|13542
B67067|Peterborough Victoria Northumberland and Clarington CDSB|1184|1077|1076|1227|4564
B67199|Renfrew County CDSB|263|237|238|292|1030
B67091|Simcoe Muskoka CDSB|1653|1538|1619|1948|6758
B67040|St Clair CDSB|579|561|625|779|2544
B29033|Sudbury CDSB|454|460|475|559|1948
B29068|Thunder Bay CDSB|577|551|551|603|2282
B67059|Toronto CDSB|6889|6910|7383|8954|30136
B67148|Waterloo CDSB|1503|1479|1564|2114|6660
B67130|Wellington CDSB|547|550|605|818|2520
B67024|Windsor-Essex CDSB|1725|1800|1932|2090|7547
B67075|York CDSB|4570|4423|4515|4766|18274
