Academic Year|Board Type|Board Number|Board Name|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enrolment|Total Enrolment
2016-2017|Public|B28010|Algoma DSB|721|701|757|1131|3310
2016-2017|Roman Catholic|B67202|Algonquin and Lakeshore CDSB|856|866|978|1276|3976
2016-2017|Public|B66010|Avon Maitland DSB|1166|1234|1304|1858|5562
2016-2017|Public|B66001|Bluewater DSB|977|1166|1057|1558|4758
2016-2017|Roman Catholic|B67164|Brant Haldimand Norfolk CDSB|844|825|785|1018|3472
2016-2017|Roman Catholic|B67008|Bruce-Grey CDSB|346|363|334|466|1509
2016-2017|Roman Catholic|B67172|CDSB of Eastern Ontario|912|994|1016|1207|4129
2016-2017|Public|B66303|CS Viamonde|499|507|414|434|1854
2016-2017|Roman Catholic|B67318|CS catholique MonAvenir|824|846|646|784|3100
2016-2017|Public|B28118|CS public du Grand Nord de l'Ontario|143|131|136|197|607
2016-2017|Public|B28100|CSD du Nord-Est de l'Ontario|86|96|105|197|484
2016-2017|Roman Catholic|B29114|CSDC Franco-Nord|231|215|216|246|908
2016-2017|Roman Catholic|B67326|CSDC de l'Est ontarien|649|711|660|731|2751
2016-2017|Roman Catholic|B29130|CSDC des Aurores boréales|29|32|27|42|130
2016-2017|Roman Catholic|B29106|CSDC des Grandes Rivières|430|404|447|534|1815
2016-2017|Roman Catholic|B67334|CSDC du Centre-Est de l'Ontario|1399|1267|1222|1262|5150
2016-2017|Roman Catholic|B29122|CSDC du Nouvel-Ontario|421|425|384|378|1608
2016-2017|Roman Catholic|B67300|Conseil scolaire catholique Providence|473|434|422|463|1792
2016-2017|Public|B66311|CÉP de l'Est de l'Ontario|913|821|858|915|3507
2016-2017|Public|B66150|DSB Niagara|2598|2789|2659|3919|11965
2016-2017|Public|B28002|DSB Ontario North East|507|588|589|893|2577
2016-2017|Roman Catholic|B67083|Dufferin-Peel CDSB|7336|7769|7846|8839|31790
2016-2017|Roman Catholic|B67105|Durham CDSB|1499|1584|1664|1979|6726
2016-2017|Public|B66060|Durham DSB|4919|5248|5004|6105|21276
2016-2017|Public|B66168|Grand Erie DSB|1816|2006|1979|3127|8928
2016-2017|Public|B66028|Greater Essex County DSB|2697|2709|2833|3378|11617
2016-2017|Roman Catholic|B67113|Halton CDSB|2810|2840|2516|3027|11193
2016-2017|Public|B66133|Halton DSB|4351|4292|4366|6066|19075
2016-2017|Roman Catholic|B67121|Hamilton-Wentworth CDSB|2316|2420|2242|3599|10577
2016-2017|Public|B66141|Hamilton-Wentworth DSB|3077|3365|3321|4755|14518
2016-2017|Public|B66222|Hastings & Prince Edward DSB|1119|1152|1178|1441|4890
2016-2017|Roman Catholic|B67016|Huron Perth CDSB|291|339|317|439|1386
2016-2017|Roman Catholic|B29025|Huron-Superior CDSB|304|292|278|387|1261
2016-2017|Public|B15148|James Bay Lowlands SSB|33|27|37|80|177
2016-2017|Public|B66079|Kawartha Pine Ridge DSB|2172|2223|2140|3217|9752
2016-2017|Public|B28045|Keewatin-Patricia DSB|423|477|475|717|2092
2016-2017|Roman Catholic|B29050|Kenora CDSB|105|105|77|96|383
2016-2017|Public|B28061|Lakehead DSB|623|674|667|902|2866
2016-2017|Public|B66036|Lambton Kent DSB|1570|1766|1709|2445|7490
2016-2017|Public|B66206|Limestone DSB|1400|1417|1484|2489|6790
2016-2017|Roman Catholic|B67032|London District Catholic School Board|1504|1512|1493|2149|6658
2016-2017|Public|B28037|Near North DSB|743|788|778|1051|3360
2016-2017|Roman Catholic|B67156|Niagara CDSB|1593|1687|1691|2189|7160
2016-2017|Roman Catholic|B29017|Nipissing-Parry Sound CDSB|197|177|227|245|846
2016-2017|Roman Catholic|B29009|Northeastern CDSB|92|105|97|120|414
2016-2017|Roman Catholic|B67180|Ottawa CDSB|3063|3273|3181|3889|13406
2016-2017|Public|B66184|Ottawa-Carleton DSB|5259|5291|5449|8063|24062
2016-2017|Public|B66125|Peel DSB|9483|9975|9870|12599|41927
2016-2017|Roman Catholic|B67067|Peterborough Victoria Northumberland and Clarington CDSB|1128|1198|1098|1209|4633
2016-2017|Public|B28029|Rainbow DSB|927|1101|1061|1785|4874
2016-2017|Public|B28053|Rainy River DSB|234|235|236|300|1005
2016-2017|Roman Catholic|B67199|Renfrew County CDSB|277|250|233|287|1047
2016-2017|Public|B66214|Renfrew County DSB|713|767|764|1133|3377
2016-2017|Public|B66109|Simcoe County DSB|3544|3743|3606|4774|15667
2016-2017|Roman Catholic|B67091|Simcoe Muskoka CDSB|1698|1681|1559|1922|6860
2016-2017|Roman Catholic|B67040|St Clair CDSB|620|571|553|820|2564
2016-2017|Roman Catholic|B29033|Sudbury CDSB|463|431|460|580|1934
2016-2017|Public|B28070|Superior-Greenstone DSB|168|183|165|248|764
2016-2017|Public|B66044|Thames Valley DSB|5176|5454|5299|7790|23719
2016-2017|Roman Catholic|B29068|Thunder Bay CDSB|575|577|536|611|2299
2016-2017|Roman Catholic|B67059|Toronto CDSB|6529|7094|7174|9301|30098
2016-2017|Public|B66052|Toronto DSB|16072|16570|17635|23633|73910
2016-2017|Public|B66087|Trillium Lakelands DSB|1226|1382|1418|1842|5868
2016-2017|Public|B66192|Upper Canada DSB|1862|1975|2187|3456|9480
2016-2017|Public|B66117|Upper Grand DSB|2447|2625|2599|3882|11553
2016-2017|Roman Catholic|B67148|Waterloo CDSB|1576|1535|1506|1998|6615
2016-2017|Public|B66176|Waterloo Region DSB|4327|4625|4547|6334|19833
2016-2017|Roman Catholic|B67130|Wellington CDSB|538|565|568|827|2498
2016-2017|Roman Catholic|B67024|Windsor-Essex CDSB|1822|1767|1831|2058|7478
2016-2017|Roman Catholic|B67075|York CDSB|4518|4607|4458|4795|18378
2016-2017|Public|B66095|York Region DSB|9122|9485|9776|11118|39501
