Academic Year|School Board Type|Board Number|Board Name|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enrolment|Total Enrolment
2017-2018|Public|B28010|Algoma DSB|728|715|713|1074|3230
2017-2018|Roman Catholic|B67202|Algonquin and Lakeshore CDSB|808|880|1050|1140|3878
2017-2018|Public|B66010|Avon Maitland DSB|1173|1255|1354|1845|5627
2017-2018|Public|B66001|Bluewater DSB|967|992|1204|1433|4596
2017-2018|Roman Catholic|B67164|Brant Haldimand Norfolk CDSB|835|840|820|1005|3500
2017-2018|Roman Catholic|B67008|Bruce-Grey CDSB|378|361|365|494|1598
2017-2018|Roman Catholic|B67172|CDSB of Eastern Ontario|968|939|986|1156|4049
2017-2018|Public|B66303|CS Viamonde|576|496|480|435|1987
2017-2018|Roman Catholic|B67318|CS catholique MonAvenir|906|784|806|659|3155
2017-2018|Public|B28118|CS public du Grand Nord de l'Ontario|157|132|134|175|598
2017-2018|Public|B28100|CSD du Nord-Est de l'Ontario|105|81|98|176|460
2017-2018|Roman Catholic|B29114|CSDC Franco-Nord|164|222|209|225|820
2017-2018|Roman Catholic|B67326|CSDC de l'Est ontarien|655|645|679|678|2657
2017-2018|Roman Catholic|B29130|CSDC des Aurores boréales|34|28|31|29|122
2017-2018|Roman Catholic|B29106|CSDC des Grandes Rivières|404|429|417|495|1745
2017-2018|Roman Catholic|B67334|CSDC du Centre-Est de l'Ontario|1399|1401|1303|1246|5349
2017-2018|Roman Catholic|B29122|CSDC du Nouvel-Ontario|450|408|412|385|1655
2017-2018|Roman Catholic|B67300|Conseil scolaire catholique Providence|509|467|438|447|1861
2017-2018|Public|B66311|CÉP de l'Est de l'Ontario|897|963|910|956|3726
2017-2018|Public|B66150|DSB Niagara|2767|2672|2819|3704|11962
2017-2018|Public|B28002|DSB Ontario North East|555|521|598|816|2490
2017-2018|Roman Catholic|B67083|Dufferin-Peel CDSB|7340|7487|7833|8671|31331
2017-2018|Roman Catholic|B67105|Durham CDSB|1590|1506|1585|1889|6570
2017-2018|Public|B66060|Durham DSB|5104|4978|5309|5773|21164
2017-2018|Public|B66168|Grand Erie DSB|1883|1832|2016|3006|8737
2017-2018|Public|B66028|Greater Essex County DSB|2901|2574|2802|3531|11808
2017-2018|Roman Catholic|B67113|Halton CDSB|3090|2868|2905|3035|11898
2017-2018|Public|B66133|Halton DSB|4499|4483|4348|6081|19411
2017-2018|Roman Catholic|B67121|Hamilton-Wentworth CDSB|2355|2376|2462|3569|10762
2017-2018|Public|B66141|Hamilton-Wentworth DSB|3247|3128|3426|4621|14422
2017-2018|Public|B66222|Hastings & Prince Edward DSB|1048|1157|1150|1377|4732
2017-2018|Roman Catholic|B67016|Huron Perth CDSB|307|290|343|394|1334
2017-2018|Roman Catholic|B29025|Huron-Superior CDSB|332|223|270|345|1170
2017-2018|Public|B15148|James Bay Lowlands SSB|32|30|25|76|163
2017-2018|Public|B66079|Kawartha Pine Ridge DSB|2145|2193|2226|2952|9516
2017-2018|Public|B28045|Keewatin-Patricia DSB|431|435|483|673|2022
2017-2018|Roman Catholic|B29050|Kenora CDSB|83|97|101|94|375
2017-2018|Public|B28061|Lakehead DSB|640|610|676|795|2721
2017-2018|Public|B66036|Lambton Kent DSB|1522|1655|1833|2321|7331
2017-2018|Public|B66206|Limestone DSB|1370|1417|1461|2382|6630
2017-2018|Roman Catholic|B67032|London District Catholic School Board|1570|1584|1547|2061|6762
2017-2018|Public|B28037|Near North DSB|744|743|826|969|3282
2017-2018|Roman Catholic|B67156|Niagara CDSB|1575|1599|1704|2103|6981
2017-2018|Roman Catholic|B29017|Nipissing-Parry Sound CDSB|193|195|179|242|809
2017-2018|Roman Catholic|B29009|Northeastern CDSB|103|95|100|148|446
2017-2018|Roman Catholic|B67180|Ottawa CDSB|3218|3253|3336|3744|13551
2017-2018|Public|B66184|Ottawa-Carleton DSB|5456|5422|5513|8046|24437
2017-2018|Public|B66125|Peel DSB|9909|9617|10157|12396|42079
2017-2018|Roman Catholic|B67067|Peterborough Victoria Northumberland Clarington CDSB|1185|1132|1184|1205|4706
2017-2018|Public|B28029|Rainbow DSB|945|945|1090|1633|4613
2017-2018|Public|B28053|Rainy River DSB|222|226|227|261|936
2017-2018|Roman Catholic|B67199|Renfrew County CDSB|257|288|249|303|1097
2017-2018|Public|B66214|Renfrew County DSB|715|714|772|1034|3235
2017-2018|Public|B66109|Simcoe County DSB|3684|3571|3821|4498|15574
2017-2018|Roman Catholic|B67091|Simcoe Muskoka CDSB|1726|1688|1668|1790|6872
2017-2018|Roman Catholic|B67040|St Clair CDSB|675|602|545|750|2572
2017-2018|Roman Catholic|B29033|Sudbury CDSB|440|452|456|573|1921
2017-2018|Public|B28070|Superior-Greenstone DSB|170|168|170|201|709
2017-2018|Public|B66044|Thames Valley DSB|5295|5322|5529|7598|23744
2017-2018|Roman Catholic|B29068|Thunder Bay CDSB|553|568|547|601|2269
2017-2018|Roman Catholic|B67059|Toronto CDSB|6596|6821|7304|8904|29625
2017-2018|Public|B66052|Toronto DSB|16088|16610|16998|23718|73414
2017-2018|Public|B66087|Trillium Lakelands DSB|1338|1232|1376|1829|5775
2017-2018|Public|B66192|Upper Canada DSB|1968|1883|2126|3200|9177
2017-2018|Public|B66117|Upper Grand DSB|2549|2526|2669|3744|11488
2017-2018|Roman Catholic|B67148|Waterloo CDSB|1617|1618|1540|1987|6762
2017-2018|Public|B66176|Waterloo Region DSB|4597|4410|4707|6237|19951
2017-2018|Roman Catholic|B67130|Wellington CDSB|549|550|565|759|2423
2017-2018|Roman Catholic|B67024|Windsor-Essex CDSB|1728|1809|1859|1927|7323
2017-2018|Roman Catholic|B67075|York CDSB|4159|4535|4674|4714|18082
2017-2018|Public|B66095|York Region DSB|9293|9555|9897|11454|40199
